Registry ID,Co-op Name,Incorporation Year,Address,Town,Province/State,Postal Code,Type
3278800,KLMPT HOUSE CO-OP LIMITED,2014,"2153 HWY #1, RR #2",ANNAPOLIS ROYAL,NS,B0S 1A0,HOUSING
1396297,LA CO-OPERATIVE CHARLES FOREST LTEE,1981,BOX 3500,ARICHAT,NS,B0E 1A0,RETAIL CONSUMER PRODUCTS
1351232,LA CO-OPERATIVE DE CHETICAMP LIMITEE,1937,PO BOX 40,CHETICAMP,NS,B0E 1H0,RETAIL CONSUMER PRODUCTS
3246424,LA COOPÉRATIVE DE TRANSPORT DE CHÉTICAMP LIMITÉE,2010,C.P. 1039,CHETICAMP,NS,B0E 1H0,SERVICES
2056510,LA COOPERATIVE RADIO CHETICAMP LIMITEE,1992,P.O. BOX 699,CHETICAMP,NS,B0E 1H0,SERVICES
3046326,LA CO-OPERATIVE RADIO RICHMOND LIMITEE,2000,C.P. 250,PETIT DE GRAT,NS,B0E 2L0,SERVICES
3288944,LAHAVE CRAFT COOPERATIVE LIMITED,2015,PO BOX 731,LUNENBURG,NS,B0J 2C0,CRAFT PRODUCTS
1351261,LAKE CITY CO-OPERATIVE LIMITED,1977,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
207 - 65 INGLIS PLACE",TRURO,NS,B2N 5B5,HOUSING
1360598,LAMPLIGHT HOUSING CO-OPERATIVE LIMITED,1980,"PO BOX 844, STATION M",HALIFAX,NS,B3J 2V2,HOUSING
3319912,LANDING STRONG CO-OPERATIVE LIMITED,2018,P.O. BOX 397,WINDSOR ,NS,B0N 2T0,WORKER LABOUR
1925502,LANDVIEW HOUSING CO-OPERATIVE LIMITED,1989,"C/O PATHWAYS HOUSING SERVICES
PO BOX 152 DMPS",DARTMOUTH,NS,B2Y 3Y3,HOUSING
3074367,LA RÉSIDENCE ACADIENNE CO-OPERATIVE LIMITED,2003,BOX 159,CHETICAMP,NS,B0E 1H0,SERVICES
3301326,LAWRENCETOWN COMMUNITY DEVELOPMENT CO-OPERATIVE LTD.,2016,"108 LAWRENCETOWN LANE, RR1",LAWRENCETOWN,NS,B0S 1M0,INVESTMENT
1692488,LE MANOIR SAINT-PIERRE HOUSING COOPERATIVE LIMITED,1986,BOX 1006,CHETICAMP,NS,B0E 1H0,HOUSING
1517465,LEMOYNE COOPERATIVE SOCIETY LIMITED,1937,PO BOX 39,ST. JOSEPH DE MOINE,NS,B0E 3A0,RETAIL CONSUMER PRODUCTS
3321514,LIFE. SCHOOL. HOUSE CO-OPERATIVE LIMITED,2018,315 PORTLAND ST,DARTMOUTH ,NS,B2Y 1K3,SERVICES
1351438,LITTLE HARBOUR PASTURE CO-OPERATIVE LIMITED,1977,PO BOX 62,"L'ARDOISE, RICHMOND CO",NS,B0E 1S0,SERVICES
1351454,LITTLE POND CO-OPERATIVE LIMITED,1979,111 LITTLE POND LANE,LAWRENCETOWN,NS,B2Z 0A4,HOUSING
3302530,LOCHABER GROWERS COOPERATIVE LTD.,2016,"QUINN FARM, 1772 HWY 7",NORTH LOCHABER,NS,B2G 2L3,AGRICULTURE
1812768,LONGHOUSE HOUSING CO-OPERATIVE LIMITED,1987,"PO BOX 152, DMPS",DARTMOUTH,NS,B2Y 3Y3,HOUSING
1424852,LORENTCHIA HOUSING CO-OPERATIVE LIMITED,1981,"77 HIGHLAND DRIVE, APT. 30",ANTIGONISH,NS,B2G 1P4,HOUSING
1720641,LOWER ARGYLE FISHERMAN'S CO-OPERATIVE LIMITED,1986,81 CAMP COVE ROAD,LOWER ARGYLE,NS,B0W 1W0,FISH PRODUCTS
1592477,LOYALIST HOUSING CO-OPERATIVE LIMITED,1984,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
3000912,LUNENBURG BALSAM FIR COOPERATIVE LTD.,1996,BOX 485,BRIDGEWATER,NS,B4V 2X6,FOREST PRODUCTS
3289866,MABOU FARMERS MARKET COOPERATIVE LIMITED,2015,BOX 155,MABOU,NS,B0E 1X0,AGRICULTURE
3087131,MACNEIL BARRACHOIS COTTAGE CO-OPERATIVE LIMITED,2004,C/O 124 EDGEHILL DRIVE,VALLEY,NS,B6L 3K3,INVESTMENT
1352019,MAPLE BROOK CO-OPERATIVE PASTURE LIMITED,1965,"RR #1 WEST BAY ROAD, 590 MACINTYRE MOUNTAIN ROAD",KINGSVILLE,NS,B0E 3L0,SERVICES
1352022,MARGAREE CO-OPERATIVE SOCIETY LIMITED,1937,BOX 549,MARGAREE FORKS,NS,B0E 2A0,RETAIL CONSUMER PRODUCTS
3225644,MARGAREE TOURISM ASSOCIATION CO-OPERATIVE LIMITED,2008,PO BOX 527,MARGAREE FORKS,NS,B0E 2A0,WORKER LABOUR
1389302,MARIA'S HOUSING CO-OPERATIVE LIMITED,1982,PO BOX 152 DMPS,DARTMOUTH,NS,B2Y 3Y3,HOUSING
3256149,MARITIME HOP GROWERS CO-OPERATIVE LIMITED,2011,35 MCINNIS ROAD,MALAGASH,NS,B0K 1E0,AGRICULTURE
3306059,MARITIME SMALL FARMS CO-OP LTD.,2017,"1233 CAPE SPLIT ROAD, RR3",SCOTS BAY,NS,B0P 1H0,AGRICULTURE
3311522,MARITIME SOLAR NS CO-OPERATIVE LIMITED,2017,PO BOX 1570,SUMMERSIDE,PE,C1N 4K4,SERVICES
1695123,MCINTOSH RUN HOUSING CO-OPERATIVE LIMITED,1986,"C/O PATHAYS HOUSING SERVICES, 
PO BOX 152 DMPS",DARTMOUTH,NS,B2Y 3Y3,HOUSING
3280607,MEDWAY COMMUNITY FOREST CO-OPERATIVE LTD.,2014,PO BOX 157,CALEDONIA,NS,B0T 1B0,FOREST PRODUCTS
3247949,MELVILLE DRIVE CO-OPERATIVE LTD.,2010,62 MELVILLE DRIVE,BROOKFIELD,NS,B0N 1C0,SERVICES
3095186,MERSEY TOBEATIC RESEARCH INSTITUTE CO-OPERATIVE LIMITED,2004,BOX 215,CALEDONIA,NS,B0T 1B0,WORKER LABOUR
3238229,MIDDLETON FARMERS' MARKET COOPERATIVE LIMITED,2009,"C/O 6160 HIGHWAY 10, RR #3",MIDDLETON,NS,B0S 1P0,AGRICULTURE
1354602,MINAS SEED CO-OPERATIVE LIMITED,1967,"9483 HWY #221, RR#5",CANNING,NS,B0P 1H0,AGRICULTURE
3008924,MINUDIE PASTURE COOPERATIVE LIMITED,1997,80 LITTLE DYKE ROAD,GREAT VILLAGE,NS,B0M 1L0,SERVICES
1352257,MIRA PASTURE CO-OPERATIVE LIMITED,1977,835 MACKEIGAN ROAD,BIG RIDGE,NS,B1K 3Y8,SERVICES
3095421,MUD CREEK MEDICAL CO-OPERATIVE LIMITED,2004,12E ELM AVENUE,WOLFVILLE,NS,B4P 1Z9,WORKER LABOUR
3260806,MUSGO RIDER COOPERATIVE LTD.,2012,PO BOX 91,MUSQUODOBOIT,NS,B0J 2L0,SERVICES
3296525,MUSGO RIDER VALLEY-SHEET HARBOUR COOPERATIVE LTD.,2016,P.O. BOX 91,MUSQUODOBOIT,NS,B0J 2L0,SERVICES
3234142,MUSQUODOBOIT HARBOUR FARMERS MARKET CO-OPERATIVE LTD.,2009,22 DEBAIES COVE ROAD,LAKE CHARLOTTE,NS,B0J 1Y0,AGRICULTURE
3307061,MUTUAL ALLIANCE CO-OPERATIVE LIMITED,2017,22498 CREEK ROAD,CHATHAM,ON,N7M 5J3,INVESTMENT
3294154,NATURA HOLDINGS CO-OP LTD.,2015,73-B PRINCE STREET,BRIDGEWATER,NS,B4V 1C9,HOUSING
3267523,NEEDHAM HOUSING CO-OPERATIVE LIMITED,2012,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
","207-59 INGLIS PLACE, TRURO",NS,B2N 4B5,HOUSING
1352120,NEIL'S HARBOUR CO-OPERATIVE LIMITED,1965,PO BOX 47,NEIL'S HARBOUR,NS,B0C 1N0,RETAIL CONSUMER PRODUCTS
3299778,NEUROQUALIA CO-OPERATIVE LTD.,2016,"ROOM 229A, FORRESTER HALL, 36 ARTHUR ST",TRURO,NS,B2N 1X5,SERVICES
3217679,NEW ARMDALE WESTSIDE HOUSING CO-OPERATIVE LIMITED,2007,"C/O PATHWAYS HOUSING SERVICES, PO BOX 152 DMPS",DARTMOUTH ,NS,B2Y 1E1,HOUSING
3308322,NEWCAPELAND PROPERTIES CO-OP LTD.,2017,22498 CREEK ROAD,CHATHAM,ON,N7M 5J3,SERVICES
3270325,NEW EDINGBURGH ARTIST'S COLONY CO-OP LTD.,2013,81 LINCOLN AVENUE,PORTSMOUTH,NEW HAMPSHIRE,38014426,CRAFT PRODUCTS
1443682,NEWFIE HOUSING CO-OPERATIVE LIMITED,1981,"C/O COMMUNITY HOUSING MANAGEMENT NETWORK
207 - 59 INGLIS PLACE",TRURO,NS,B2N 4B5,HOUSING
3238983,NEW GLASGOW FARMERS MARKET COOPERATIVE LIMITED,2009,58 THIRTEENTH STREET,THORBURN,NS,B0K 1X0,AGRICULTURE
3177313,NEW ROSS COUNTRY MARKET CO-OP LIMITED,2006,C/O 700 HWY 12,BLUE MOUNTAIN,NS,B4N 3V8,AGRICULTURE
1568607,NORTH BAY FISHERMEN'S CO-OPERATIVE ASSOCIATION LIMITED,1984,"26 WHARF ROAD, HWY 337 BALLANTYNE'S COVE",ANTIGONISH CO.,NS,B2G 2L2,FISH PRODUCTS
1352175,NORTH NOVA FOREST OWNERS CO-OPERATIVE LIMITED,1976,11986 HIGHWAY #4,WENTWORTH,NS,B0M 1Z0,FOREST PRODUCTS
3293293,NORTH QUEENS BUSINESS CENTRE & INNOVATION HUB CO-OP LTD.,2015,PO BOX 186,CALEDONIA,NS,B0T 1B0,SERVICES
3295767,NORTH STAR YACHT CLUB CO-OPERATIVE LTD.,2016,520 PURCELLS COVE ROAD,HALIFAX,NS,B3P 2G3,SERVICES
3021980,NORTHUMBERLAND FISH COOPERATIVE LIMITED,1998,BOX 166,RIVER JOHN,NS,B0K 1N0,FISH PRODUCTS
1417369,NORTHUMBERLAND LAMB MARKETING CO-OPERATIVE LIMITED,1982,24 BROOKSIDE BRANCH RD.,BIBLE HILL,NS,B6L 2A6,AGRICULTURE
1354673,NORTH WEST ARM HOUSING CO-OPERATIVE LIMITED,1980,4 DEKKER STREET,HALIFAX,NS,B3R 1M4,HOUSING
1876426,NOVA HEIGHTS CONTINUING HOUSING CO-OPERATIVE LIMITED,1988,31 STUART ST,SYDNEY,NS,B1P 6Y8,HOUSING
1352215,NOVA SCOTIA ANIMAL BREEDER'S CO-OPERATIVE LTD.,1945,4060 ROUTE 236,TRURO,NS,B6L 1J9,RETAIL CONSUMER PRODUCTS
3291314,NOVA SCOTIA CO-OPERATIVE COUNCIL LIMITED,2015,PO BOX 1872,TRURO,NS,B2N 6C7,SERVICES
3230729,NOVA SCOTIA FARMERS' MARKET DEVELOPMENT COOPERATIVE LTD.,2008,25 HIGHLAND DRIVE,TRURO,NS,B2N 1B8,INVESTMENT
