ID,Description
CPLID178,Eddie Leblanc Memorial Ball Park Field
CPLID1780,Havil Park
CPLID1781,Cove Road Park
CPLID1782,Fleetview Drive Park
CPLID1783,Mandaville Court Park
CPLID1784,Stanley I Raine Park
CPLID1785,Glenbourne Park
CPLID1786,Whimsical Lake Park
CPLID1787,Flinn Park 
CPLID1788,Sackville Kinsman Park
CPLID1789,Bedford Village Park
CPLID179,Fort Needham
CPLID1790,Scotia Drive Park
CPLID1791,Tantallon Woods Park
CPLID1792,Tallahassee School
CPLID1793,Astral Drive School
CPLID1794,Catherine Furnass Park
CPLID1795,Dartmouth Common 
CPLID1796,Hartlen Point
CPLID1797,Earls Road Park
CPLID1798,Pierre Gingras Memorial Park
CPLID1799,Sunnyview Terrace
CPLID18,Blowers St
CPLID180,Canada Games Diamond .
CPLID1800,Judy Anne Park
CPLID1801,Millwood Common Park 
CPLID1802,Millwood High School Park 
CPLID1803,Northbrook Park 
CPLID1804,Oathill Boardwalk
CPLID1805,William Henry Harry Little Park West 
CPLID1806,Captain William Spry Centre
CPLID1807,Donegal Drive Pedestrian Park 
CPLID1808,Ridgevale Drive Park
CPLID1809,Buckingham Drive Park 
CPLID181,Meadowbrook Park  Field
CPLID1810,Shubie Canal Lock #3 
CPLID1811,Shubie Campground 
CPLID1812,Spectacle Lake Boardwalk West
CPLID1813,Point Pleasant Park 
CPLID1814,Public Gardens
CPLID1815,Horseshoe Island Seawall
CPLID1816,Alderney Land Docks
CPLID1817,BJ Higgins
CPLID1818,Meadowbrook
CPLID1819,Graves Oakley
CPLID182,Oldfield School Court Resurfacing
CPLID1820,Pierre Gingras
CPLID1821,North Preston
CPLID1822,Castle Hill
CPLID1823,Central Spryfield
CPLID1824,Sunset Acres 
CPLID1825,Landrance Park  
CPLID1826,Stanley I Raine Park
CPLID1827,St Marys Boat Club 
CPLID1828,Northcliffe
CPLID1829,Don Bayer - Burnside 
CPLID183,Westmount Tennis Courts
CPLID1830,LaPierre Ballfield 
CPLID1831,Prospect Road Community Centre 
CPLID1832,Wendy's Meadow Park 
CPLID1833,Heatherglen Park (Lost Creek Community Association Area Rate) - new court
CPLID1834,Western Commons -Nichols Lake Trail 
CPLID1835,Otter Lake 
CPLID1836,Captain William Spry Community Centre
CPLID1837,Alderney Gate
CPLID1838,BMO Centre
CPLID1839,Spring Garden Road Central Library
CPLID184,Melody Dr (at Bedford Highway )
CPLID1840,Cole Harbour Place
CPLID1841,Acadia Centre 
CPLID1842,Queens Square
CPLID1843,Alderney Gate
CPLID1844,Dartmouth Multi-Pad
CPLID1845,Dartmouth North Community Centre
CPLID1846,Dartmouth Sportsplex
CPLID1847,Fire Station 2 - University Avenue
CPLID1848,Fire Station 3 - West Street
CPLID1849,Fire Station 4 - Duffus Street
CPLID185,Fergusons Cove Rd
CPLID1850,Fire Station 5 - Bayers Road
CPLID1851,Fire Station 14 - Second Street
CPLID1852,Halifax City Hall and Grand Parade
CPLID1853,375 Cowie Hill Road
CPLID1854,6 Turner Drive
CPLID1855,150 Thornhill
CPLID1856,MacKintosh Depot
CPLID1857,Halifax Regional Police Headquarter
CPLID1858,1554 Hollis Street
CPLID1859,St. Margaret's Centre
CPLID186,Hammonds Plains Rd (near civic 2120)
CPLID1860,Spryfield Lions Arena 
CPLID1861,1606 Bell Road
CPLID1862,Keshen Goodman Library
CPLID1863,Halifax North Memorial Library
CPLID1864,Alderney Gate Library
CPLID1865,Dartmouth North Library
CPLID1866,Sackville Sports Stadium
CPLID1867,Sambro/Harrietsfield Fire Station
CPLID1868,Scotiabank Centre
CPLID1869,Scotiabank Centre
CPLID187,Bedford Highway (civic 673 to Fern)
CPLID1870,Sheet Harbour Recreation Centre
CPLID1871,St. Andrew's Community Centre 
CPLID1872,Halifax Regional Police Headquarter
CPLID1873,Halifax Regional Police Headquarter
CPLID1874,Halifax Regional Police Headquarter
CPLID1875,Burnside Transit Centre
CPLID1876,Burnside Transit Centre
CPLID1877,Halifax and Alderney Ferry Terminal
CPLID1878,Halifax and Alderney Ferry Terminal
CPLID1879,Halifax Ferry Terminal
CPLID188,civic 31 Lillian Dr to civic 49 Stewart Harris Dr
CPLID1880,Burnside Transit Centre
CPLID1881,Ragged Lake Transit Centre
CPLID1882,Gottingen Street Transit Corridor
CPLID1883,Intersection at Young Avenue and Robie Street
CPLID1884,Intersection at Portland Street and Woodlawn
CPLID1885,Intersection at Main Street and Gordon Avenue
CPLID1886,Woodside Ferry Terminal 
CPLID1887,Wrights Cove Terminal
CPLID1888,Baker Drive Parkland 
CPLID1889,Beazley Field Complex
CPLID189,civic 58/60 Pondicherry Cres to 64 Valkyrie Cres
CPLID1890,Camp Hill Cemetery 
CPLID1891,Peace Pavilion
CPLID1892,Sullivan Pond 
CPLID1893,Africville
CPLID1894,Sir William Alexander Cairn
CPLID1895,Victoria Park 
CPLID1896,Cole Harbour Place
CPLID1897,Fort Needham Memorial Park 
CPLID1898,Turtle Grove (Turtle Cove - Shannon Park)
CPLID1899,Lake Banook
CPLID19,Grafton St
CPLID190,civic 96/94 Pondicherry Cres to existing walkway
CPLID1900,Fort Needham 
CPLID1901,Halifax Commons 
CPLID1902,White's Lake 
CPLID1903,Blue Mountain Birch Cove Park
CPLID1904,Cole Harbour View Plane
CPLID1905,Sidney Crescent
CPLID1906,Porter's Lake Canal
CPLID1907,Purcell's Cove Backlands
CPLID1908,High Head Barrens Park
CPLID1909,Fish Hatchery Park 
CPLID191,civic 178 Flying Cloud Dr to Joseph Giles School
CPLID1910,Mainland Common - Off Leash Dog Park 
CPLID1911,Farrell Street Park 
CPLID1912,Tomahawk Run Park 
CPLID1913,Haliburton Hills Trail 
CPLID1914,Kingswood Subdivision 
CPLID1915,Birches Park
CPLID1916,Halifax Christian Academy Park
CPLID1917,Connaught Battery Park
CPLID1918,Gorsebrook Park
CPLID1919,Point Pleasant Park 
CPLID192,civic 91 Briarlynn Cres to civic 35 Bell Royal Ct
CPLID1920,Havil Park
CPLID1921,Cove Road Park
CPLID1922,Fleetview Drive Park
CPLID1923,Mandaville Court Park
CPLID1924,Stanley I Raine Park
CPLID1925,Glenbourne Park
CPLID1926,Whimsical Lake Park
CPLID1927,Flinn Park 
CPLID1928,Sackville Kinsman Park
CPLID1929,Bedford Village Park
CPLID193,civic 193/197 John Stewart Dr to 40/42 Inglewood Cres
CPLID1930,Scotia Drive Park
CPLID1931,Tantallon Woods Park
CPLID1932,Tallahassee School
CPLID1933,Astral Drive School
CPLID1934,Catherine Furnass Park
CPLID1935,Dartmouth Common 
CPLID1936,Hartlen Point
CPLID1937,Earls Road Park
CPLID1938,Pierre Gingras Memorial Park
CPLID1939,Sunnyview Terrace
CPLID194,civic 49/51 Noria Cres to civic 100/104 Waterwheel Cres
CPLID1940,Judy Anne Park
CPLID1941,Millwood Common Park 
CPLID1942,Millwood High School Park 
CPLID1943,Northbrook Park 
CPLID1944,Oathill Boardwalk
CPLID1945,William Henry Harry Little Park West 
CPLID1946,Captain William Spry Centre
CPLID1947,Donegal Drive Pedestrian Park 
CPLID1948,Ridgevale Drive Park
CPLID1949,Buckingham Drive Park 
CPLID195,Joseph Howe Dr at Abbott Dr
CPLID1950,Shubie Canal Lock #3 
CPLID1951,Shubie Campground 
CPLID1952,Spectacle Lake Boardwalk West
CPLID1953,Point Pleasant Park 
CPLID1954,Public Gardens
CPLID1955,Horseshoe Island Seawall
CPLID1956,Alderney Land Docks
CPLID1957,BJ Higgins
CPLID1958,Meadowbrook
CPLID1959,Graves Oakley
CPLID196,Hammonds Plains Rd at Bedford Highway
CPLID1960,Pierre Gingras
CPLID1961,North Preston
CPLID1962,Castle Hill
CPLID1963,Central Spryfield
CPLID1964,Sunset Acres 
CPLID1965,Landrance Park  
CPLID1966,Stanley I Raine Park
CPLID1967,St Marys Boat Club 
CPLID1968,Northcliffe
CPLID1969,Don Bayer - Burnside 
CPLID197,Lob Ball Field Sackville Dr. Upgrades
CPLID1970,LaPierre Ballfield 
CPLID1971,Prospect Road Community Centre 
CPLID1972,Wendy's Meadow Park 
CPLID1973,Heatherglen Park (Lost Creek Community Association Area Rate) - new court
CPLID1974,Western Commons -Nichols Lake Trail 
CPLID1975,Otter Lake 
CPLID1976,Otter Lake 
CPLID1977,20 Horseshoe Lake Drive
CPLID1978,20 Horseshoe Lake Drive
CPLID1979,80 Gloria McCliskey Avenue
CPLID198,Wendy's Meadow Play Field
CPLID1980,61 Evergreen PL
CPLID1981,21611 Highway #7
CPLID1982,249 Sibley Road
CPLID1983,Broad Street at Larry Uteck - Intersection
CPLID1984,Cogswell Interchange 
CPLID1985,Argyle/Grafton
CPLID1986,Spring Garden Road
CPLID1987,Chebucto/Windsor/Cunard 
CPLID1988,Sackville/Sackville Cross Rd 
CPLID1989,Sackville/Beaverbank
CPLID199,Beazley Field.
CPLID1990,Coburg/Edward 
CPLID1991,Northwest Arm/Old Sambro
CPLID1992,Windmill/Lyle 
CPLID1993,Larry Uteck/Bluewater 
CPLID1994,Sackville/Bambrick/Orchard 
CPLID1995,Chain Lake/Horseshoe Lake 
CPLID1996,Wright/Wilkinson
CPLID1997,Sackville/Beaconsfield/Executive 
CPLID1998,Bissett/Salt Marsh Trail
CPLID1999,Bissett/Rehab Centre
CPLID2,Duncan St. Chebucto Lane to Harvard
CPLID20,Coburg Rd
CPLID200,Oldfield School
CPLID2000,Larry Uteck/Civic 420 
CPLID2001,Caldwell/Atholea  
CPLID2002,Robie/South 
CPLID2003,Prince Albert/Hawthorne
CPLID2004,Robie/Quinpool 
CPLID2005,Windmill Rd
CPLID2006,Coronation Ave
CPLID2007,Coronation Ave
CPLID2008,Porter's Lake Metro X 
CPLID2009,Burnside Dr Greenway
CPLID201,Lob Ball Field Sackville Dr.
CPLID2010,Windmill Rd
CPLID2011,Mainland North Connector Active Greenway Transportation Upgrade
CPLID2012,Sackville Greenway
CPLID2013,Sackville-Bedford Greenway 
CPLID2014,Downtown Fall River
CPLID2015,Marine Drive
CPLID2016,Gaetz Brook AT Greenway 
CPLID2017,"Beechville, Lakeside, Timberlea Trail"
CPLID2018,Crimson Dr to Sackville Lakes Park Parking Lot 
CPLID2019,Dartmouth Harbourfront Greenway (Ochterloney)
CPLID202,Burnside Industrial Park
CPLID2020,Morris - University Bikeway 
CPLID2021,Barrington Greenway
CPLID2022,Chain of Lakes Greenway
CPLID2023,Chain of Lakes Greenway 
CPLID2024,Broad and Gary Martin
CPLID2025,Africville
CPLID2026,Rainnie
CPLID2027,Brunswick
CPLID2028,Fall River Rd and Lockview Rd 
CPLID2029,Auburn Dr
CPLID203,Heartland Village Park
CPLID2030,Auburn Dr
CPLID2031,Clyde St
CPLID2032,Mount Hope Ave
CPLID2033,Sinclair St
CPLID2034,Athorpe Dr
CPLID2035,Booth St
CPLID2036,Kennedy Dr
CPLID2037,Eastview Dr
CPLID2038,Main Ave
CPLID2039,Forest Hills Parkway
CPLID204,Bedford West Playground
CPLID2040,North West Arm Greenway 
CPLID2041,Highway Trunk 7
CPLID2042,Highway Trunk 7
CPLID2043,Wyse Rd
CPLID2044,Ahern Ave
CPLID2045,South Park St
CPLID2046,Almon St
CPLID2047,North St
CPLID2048,Vernon St and Seymour St
CPLID2049,Allan St and Oak St
CPLID205,Public Gardens
CPLID2050,Atlantic St
CPLID2051,Estates Rd
CPLID2052,Mount Hope Ave
CPLID2053,Bissett Greenway
CPLID2054,Atlantic View Trail
CPLID2055,Musquodoboit Trailway
CPLID2056,Salt Marsh Trail
CPLID2057,"Beechville, Lakeside, Timberlea Trail "
CPLID2058,St. Margaret's Bay Trail
CPLID2059,Dartmouth Common
CPLID206,Sir Sandford Flemming Park
CPLID2060,Micmac and 111
CPLID2061,Musquodoboit Harbour Railway Museum
CPLID2062,Beaver Bank to Canopy Creek
CPLID2063,Ft. Sackville Walkway & Bedford-Sackville Connector
CPLID2064,North Preston
CPLID2065,Bell/Ahern 
CPLID2066,Bell/Summer/Trollope
CPLID2067,"Welsford, Allan, Windsor, North Common Connections"
CPLID2068,Lady Hammond Rd
CPLID2069,Lady Hammond Rd                   
CPLID207,Papermill Lake
CPLID2070,Rosley Rd bridge replacement design       
CPLID2071,Peggy's Cove
CPLID2072,Musquodoboit Harbour
CPLID2073,Mushaboom
CPLID2074,Mooseland Road
CPLID2075,Walker bridge
CPLID2076,Walker bridge
CPLID2077,Kimberley Cres. Pedway
CPLID2078,Tobin Dr.
CPLID2079,Lady Hammond Rd
CPLID208,Jubilee Road
CPLID2080,Quinpool Rd (CN)
CPLID2081,Lucasville
CPLID2082,Moirs Mill Lake pedestrian bridge
CPLID2083,Silver Crt
CPLID2084,Raines Mill Rd
CPLID2085,Chalamont Dr
CPLID2086,Northwood Rd
CPLID2087,Old Annapolis Rd
CPLID2088,Carrie Cres
CPLID2089,Gardeners Walk
CPLID209,Sullivan's Pond
CPLID2090,Trinity Ln
CPLID2091,Bayshore Dr
CPLID2092,Birchpond Crt
CPLID2093,Delmerle Dr
CPLID2094,Maple Dr
CPLID2095,Prospect River Crt
CPLID2096,Tara Dr
CPLID2097,Tidal Way
CPLID2098,1358 Cobequid Rd 
CPLID2099,Cobequid Rd at Regwood Dr
CPLID21,Hollis St
CPLID210,Lake Charlotte
CPLID2100,Rocky Lake Dr - Civic 2030
CPLID2101,Waverley Rd Under Hwy 118
CPLID2102,Ross Rd at Salmon River Rd
CPLID2103,Barrington St MacKay Bridge Approaches
CPLID2104,Cliff St
CPLID2105,2320 Armcrescent West Ave - 2291 Quinn St
CPLID2106,15 Fourth St to 15 Panorama Ln
CPLID2107,Purcell's Cove Rd at Williams Lake Rd Investigation and Design
CPLID2108,Coronation Dr (Hillcrest to Willett) New Construction
CPLID2109,Cliff St
CPLID211,Kevin Shea Field
CPLID2110,Rocky Lake Dr across from Civic 927
CPLID2111,Rocky Lake Dr across from Civic 1561
CPLID2112,Sinclair St (Multiple Locations)
CPLID2113,22 Herring Cove Rd
CPLID2114,1087-1157 Old Sackville Rd
CPLID2115,La Pierre Cres to Cranberry Cres
CPLID2116,"Londra Crt to Cranberry Cres, Sabra Crt, and Tantling Cres"
CPLID2117,Mount Edward Rd to Hibernia Crt
CPLID2118,Wamphray Cres to Orquel Crt
CPLID2119,Allison Dr to Astral Dr
CPLID212,Springvale
CPLID2120,Allison Dr to Spence Dr
CPLID2121,Colby Dr to Carnaby Cres
CPLID2122,Fairbanks St to Geary St/Windmill Rd (Design)
CPLID2123,Laurel Ln to Sumac Ln
CPLID2124,Ridgeview Dr to Prince St
CPLID2125,15 Fourth St to 15 Panorama Ln
CPLID2126,Doyle St to Basinview Dr
CPLID2127,2342 Waverley Rd
CPLID2128,48 Cadet Road
CPLID2129,91 Prince Albert Rd at Eaton Rd
CPLID213,Eddie LeBlanc
CPLID2130,North St (Dartmouth) Construction
CPLID2131,Sinclair St (Multiple Locations)
CPLID2132,Vestry St at Lynch St
CPLID2133,Herring Cove Rd - after Windermere Rd
CPLID2134,Main Ave - Titus to Dunbrack (South Edge)
CPLID2135,Trunk 7 (Property Acquisition)
CPLID2136,Armcrescent West Ave 
CPLID2137,Benjamin Green Ave
CPLID2138,South Armcrescent Ave
CPLID2139,Coronation Ave
CPLID214,Bill Zinck Ball Field
CPLID2140,Coronation Ave
CPLID2141,Ahern Ave
CPLID2142,Mount Edward Rd
CPLID2143,Trunk 7
CPLID2144,Trunk 7
CPLID2145,Sinclair St
CPLID2146,Sinclair St
CPLID2147,Roleika Dr
CPLID2148,Coburg - Spring Garden
CPLID2149,Linden St
CPLID215,Metro Transit - Burnside Transit Centre
CPLID2150,Vernon St
CPLID2151,Vernon St
CPLID2152,Vernon St
CPLID2153,Allan St
CPLID2154,Allan St
CPLID2155,Allan St
CPLID2156,Gottingen St
CPLID2157,Robie St
CPLID2158,Kearney Lake Rd
CPLID2159,Elmridge Dr
CPLID216,Cornwallis Park
CPLID2160,Overbrook Dr
CPLID2161,Stayner Dr
CPLID2162,Badger Ave
CPLID2163,Rattling Ave
CPLID2164,Coburg Rd - Spring Garden Rd
CPLID2165,Gottingen St
CPLID2166,Kaye St
CPLID2167,Armcrescent Ave E/W
CPLID2168,Benjamin Green Dr
CPLID2169,First St
CPLID217,Gaston Road Park
CPLID2170,South Armcrescent St
CPLID2171,Third St
CPLID2172,Coronation Ave
CPLID2173,Eastcoast Crt
CPLID2174,Rockhaven Dr
CPLID2175,Woodcrest Ave
CPLID2176,White Birch Dr
CPLID2177,Cliff St
CPLID2178,Doyle St
CPLID2179,Bissett Rd
CPLID218,Timberlane Terrace lands
CPLID2180,Ahern Ave
CPLID2181,High St
CPLID2182,Pockwock Rd
CPLID2183,Charleswood Dr
CPLID2184,Windgate Dr
CPLID2185,Clarence St
CPLID2186,Londra Crt
CPLID2187,Orquel Crt
CPLID2188,Spruce Dr
CPLID2189,Wamphray Cres
CPLID219,Range Park
CPLID2190,Allison Dr
CPLID2191,Armbro Ln
CPLID2192,Auburn Dr
CPLID2193,Colby Dr
CPLID2194,Atlantic St
CPLID2195,Estates Rd
CPLID2196,Mount Hope Ave
CPLID2197,Sinclair St
CPLID2198,Athorpe Dr
CPLID2199,Booth St
CPLID22,Prince St
CPLID220,Admiral Westphal Elementary School
CPLID2200,Kennedy Dr
CPLID2201,Roleika Dr
CPLID2202,Cherry St
CPLID2203,Coburg Rd - Spring Garden Rd
CPLID2204,Emscote Dr
CPLID2205,Garden St
CPLID2206,Linden St
CPLID2207,Macleod Dr
CPLID2208,Vernon St
CPLID2209,Allan St
CPLID221,Alderney School
CPLID2210,Memorial Dr
CPLID2211,Monastery Ln
CPLID2212,Robie St
CPLID2213,Botany Terr
CPLID2214,Eastview Dr
CPLID2215,Homecrest Terr
CPLID2216,Rexdale Ave
CPLID2217,Samuel Terr
CPLID2218,Cedarbrae Ln
CPLID2219,Dunbrack St
CPLID222,Beaver Bank Kinsac Fields
CPLID2220,Kearney Lake Rd
CPLID2221,Laurel Ln
CPLID2222,Laurentide Dr
CPLID2223,Sumac Ln
CPLID2224,Carnation Cres
CPLID2225,Fotherby Ave
CPLID2226,Frances Crt
CPLID2227,Holly Dr
CPLID2228,Marie Ave
CPLID2229,Ursula Crt
CPLID223,Buckingham Commons Stillwater Lake (Haliburton Heights)
CPLID2230,Dunbrack St
CPLID2231,Kearney Lake Rd
CPLID2232,Chalamont Dr
CPLID2233,Northwood Rd
CPLID2234,St Georges Blvd
CPLID2235,Lakeland St
CPLID2236,Pinehaven Dr
CPLID2237,Trinity Ln
CPLID2238,Cockburn Crt
CPLID2239,Cockburn Dr
CPLID224,Canada Games Centre
CPLID2240,Mayfair Ave
CPLID2241,Ridgeview Dr
CPLID2242,Steeves Crt
CPLID2243,Armoyan Crt
CPLID2244,Eagle Pl
CPLID2245,Eaglewood Dr
CPLID2246,Golf Links Rd
CPLID2247,Peregrine Cres
CPLID2248,Portland Hills Dr (W) - Portland to End of Island 
CPLID2249,Portland Hills Dr (E ) - Portland to End of Island
CPLID225,Cedar Crescent Playground
CPLID2250,Portland Hills Dr - End of Island to Berry Hill
CPLID2251,Portland Hills Dr - Berry Hill to Summerfield 
CPLID2252,Countryview Dr (W) - Corner to Shubie
CPLID2253,Countryview Dr (E )- Shubie to Wright 
CPLID2254,Countryview Dr (W) -Shubie to McClure 
CPLID2255,Countryview Dr (W) - McClure to Commodore
CPLID2256,Countryview Dr (E) - Commodore to McClure
CPLID2257,Countryview Dr (E) - McClure to Shubie 
CPLID2258,Gordon Ave - Tacoma Dr to Mall Entry
CPLID2259,Gordon Ave - Main St to Tacoma Dr 
CPLID226,Cole Harbour Outdoor Pool
CPLID2260,Raddall Ave - Wright Ave to Ilsley Ave 
CPLID2261,Cambridge St - Pepperell to Norwood 
CPLID2262,Cambridge St - Norwood to Jubilee
CPLID2263,Morris St - South Park to Brenton 
CPLID2264,Morris St - Brenton to Queen
CPLID2265,Morris St - Queen to Church
CPLID2266,Morris St - Church to Barrington 
CPLID2267,Morris St - Barrington to Lower Water 
CPLID2268,Glendale Rd - Edgewood to Roslyn
CPLID2269,Roslyn Rd - Connaught to Oxford 
CPLID227,Noria Cres. Beaver Bank Cross Rd to Beaver Bank Cross Rd
CPLID2270,Willow St - Windsor to Dublin
CPLID2271,Willow St - Dublin to Cul De Sac 
CPLID2272,Connaught Ave (N) - Quinpool to First
CPLID2273,Connaught Ave (N) - First to Third
CPLID2274,Connaught Ave (N)- Third to Chebucto
CPLID2275,Mumford Rd - Joseph Hoew to Railway
CPLID2276,Mumford Rd - Railway to Romans
CPLID2277,Mumford Rd - Romans to End of Blvd
CPLID2278,Mumford Rd - End of Blvd to Leppert
CPLID2279,Mumford Rd - End of Blvd to Romans 
CPLID228,Waterwheel Cres. Beaver Bank Cross Rd to Beaver Bank Cross Rd
CPLID2280,Stonehaven Rd - Fenwood to Glenmore
CPLID2281,Main Ave - Dunbrack to Mandaville 
CPLID2282,Main Ave - Mandavlle to Washmill Lake Dr 
CPLID2283,Trunk 3 - North Green to Parkdale
CPLID2284,Trunk 3 - Parkdale to Timberlea Village 
CPLID2285,Washmill Lake Dr (N) - Civic 550 to Northwest Arm Drive 
CPLID2286,Washmill Lake Dr (S) - Northwest Arm Drive to Civic 550
CPLID2287,Washmill Lake Dr - Bently to Civic 550 
CPLID2288,Skyridge Ave - Sackville Dr to Kaye St
CPLID2289,Skyridge Ave - Kaye St to Prince 
CPLID229,Riverside Dr. Glendale to Civic 1530
CPLID2290,Bedford Hwy - Oarkmount to Town limit at 102
CPLID2291,Hammonds Plains Rd - Innovation to Smiths Road 
CPLID2292,Hammonds Plains Rd - Innovation to Sandy Lake 
CPLID2293,Kearney Lake Rd - Civic 327 to Larry Uteck
CPLID2294,Parkvae Cres - Ridgevale to Ridgevale 
CPLID2295,Portland Hills Dr - Waterside Terr to Summerfield Way
CPLID2296,Waverley Rd - Spider Lake Rd to Rolling Hills
CPLID2297,Waverley Rd - Rolling Hills to Silverside Dr
CPLID2298,Mount Edward Rd - Lucien Dr to Stewart Harris 
CPLID2299,Mount Edward Rd - Stewart Harris to Cranberry Cres
CPLID23,Richmond St
CPLID230,Sampson Dr. Stokil to Stokil
CPLID2300,Mount Edward Rd - Cranberry Cres to Wildwood Blvd
CPLID2301,Topsail Blvd - Mt Edward to Digby South
CPLID2302,Topsail Blvd - Digby South to Dorothea 
CPLID2303,Tacoma Drive - Valleyfield Rd to Gordon Ave
CPLID2304,Tacoma Drive - civic 116 to Valleyfield Rd
CPLID2305,Tacoma Drive - Main Street to Civic 116
CPLID2306,Novalea Drive - Rector to Duffus
CPLID2307,Novalea Drive - Vestry to Rector
CPLID2308,Novalea Drive - Leeds to Vestry 
CPLID2309,Novalea Drive - Northridge to Leeds 
CPLID231,Cedar St. Summit to Maple
CPLID2310,Almon Street - Connolly to Oxford
CPLID2311,Almon Street - Connaught to Connolly
CPLID2312,Ashwood Drive - Wilson Drive to End 
CPLID2313,Holly Court - Brook to Cul De Sac
CPLID2314,Autumn Drive - Herring Cove Road to End
CPLID2315,McIntosh Street - Herring Cove Road to End
CPLID2316,Whalen Avenue - Herring Cove to End
CPLID2317,Pockwock Road - Civic 1238 to End
CPLID2318,Emmerson Street - Rutledge to End 
CPLID232,Summit St. Rocky Lake Dr to End
CPLID233,Maple St. Central to Sunnydale
CPLID234,Saratoga Dr. Lexington to Walnut Hall
CPLID235,Devonshire Ave. Barrington to Albert
CPLID236,Pockwock Rd.
CPLID237,First Ave. Bedford Hwy to Pine
CPLID238,Village Street (Murray Drive to end - LIC) District 13
CPLID239,Dingle Park Stairs
CPLID24,Barrington St
CPLID240,Fort Needham Park
CPLID241,Oldfield School Court
CPLID242,Halifax Common Spray Pool
CPLID243,Hemlock Ravine Park
CPLID244,Hollyhock Way
CPLID245, Long Lake Drive Park
CPLID246,Larry O'Connell  Playground
CPLID247,Roblea Drive Park
CPLID248,Rockingstone Elementary School
CPLID249,St. Margaret's Centre Skate Park
CPLID25,Cloverdale Rd
CPLID250,St. Mary's School
CPLID251,Crown Crescent (Village Street to Cul de Sac - LIC) District 13
CPLID252,Powder Mill
CPLID253,Cow Bay Rd
CPLID254,Fairview Overpass
CPLID255,Old Sackville Rd (Hwy 101)
CPLID256,BR80 MacKintosh St Overpass
CPLID257,Sackville Dr Rehabilitation
CPLID258,BR127 MacKintosh St Overpass
CPLID259,Convoy Run
CPLID26,Fairview Overpass
CPLID260, MackIntosh St Overpass
CPLID261,MackIntosh St Overpass
CPLID262,Rocky Lake Dr
CPLID263,Cow Bay Causeway
CPLID264,"Stoney Creek Dr, Mineville"
CPLID265,Terence Bay Park
CPLID266,Titus Smith Playground
CPLID267,Upland Park Phase II.
CPLID268,Halifax North West
CPLID269,Halifax Urban Greenway
CPLID27,Magazine Hill Overpass
CPLID270,Lawrencetown Cole Harbour
CPLID271,Penhorn Lake Trail
CPLID272,Kearney Lake Road
CPLID273,Porter's Lake MetroX Connections
CPLID274,Mt. Hope Greenway
CPLID275,Ochterloney Street
CPLID276,Kearney Lake Road Connector
CPLID277,Chain Lake Drive - at Lakelands
CPLID278,Glendale/Pinehill
CPLID279,Bicentennial Theatre
CPLID28,St Margaret's Bay Road at Brentwood
CPLID280,Halifax Ferry Terminal
CPLID281,Metro Transit - Woodside Ferry Terminal
CPLID282,Turner Drive Depot
CPLID283,MacKintosh Depot
CPLID284,Grand Parade
CPLID285,Metropark
CPLID286,Lebrun Centre
CPLID287,City Hall
CPLID288,Chocolate Lake Beach
CPLID289,"Cow Bay Rd,  Eastern Passage"
CPLID29,Dunbrack St (E) -  Knightsridge to Wentworth
CPLID290,Seanleigh Crt - Cobequid to Cul de Sac
CPLID291,Flandrum Hill Rd - Patterson to End
CPLID292,Flandrum Ct - Flandrum Hill to End
CPLID293,Patterson Rd - Flandrum Hill to Dyke
CPLID294,Minshull Dr - Basinview to Lincoln
CPLID295,Ashwood Dr - Wilson to end
CPLID296,Holly Crt - Brook St to Cul de Sac
CPLID297,Braeside Ave - Flandrum Hill to Dyke
CPLID298,Mt. Edward Rd. Cranberry Cres to Driveway into Ballpark
CPLID299,Crystal Dr. Pinecrest to Leaman
CPLID3,Oxford St. RCMP Station to end.
CPLID30,Dunbrack St (W) - Farnham Gate to Ross
CPLID300,Wright Ave. MacDonald to Windmill
CPLID301,Sunnybrae Ave
CPLID302,Main Ave. Titus to Bedford Hwy
CPLID303,Noria Cres. Beaver Bank Cross Rd to Beaver Bank Cross Rd
CPLID304,Waterwheel Cres. Beaver Bank Cross Rd to Beaver Bank Cross Rd
CPLID305,Moirs Mills Rd. Bedford Hwy to Civic 332
CPLID306,Quinn St. Chebucto to Quinpool
CPLID307,Prince Albert/Ochterloney
CPLID308,Windmill/Wright
CPLID309,Emera Oval. 5775 Cogswell St
CPLID31,Robert Lane  - Giberson to End
CPLID310,Cole Harbour Place. 51 Forest Hills Pkwy
CPLID311,St. Mary's Boat Club
CPLID312,Cole Harbour High School
CPLID313,Eastern Passage High School
CPLID314,St. Andrew's Community Centre
CPLID315,Metro Transit - Lacewood Terminal Clayton Park
CPLID316,Commons Pavilion
CPLID317,81 Ilsley Ave
CPLID318,Halifax Metro Centre
CPLID319,Second Lake Trail
CPLID32,Hayley Lane - Lakeland to End
CPLID320,Chain of Lakes Greenway
CPLID321,Lake Charlotte Boat Launch
CPLID322,Northwest Arm Seawall. Dingle Tower
CPLID323,Bedford Lions Pool Park
CPLID324,Bissett Lake Park
CPLID325,Ragged Lake Industrial Park
CPLID326,Aerotech Business Park
CPLID327,Burnside Business Park
CPLID328,Ragged Lake Industrial Park
CPLID329,Ragged Lake Industrial Park
CPLID33,John Stewart Dr - Cole Harbour to Inglewood (S)
CPLID330,First Lake Dr
CPLID331,Otter Lake Residuals Disposal Facility
CPLID332,Otter Lake Residuals Disposal Facility
