ID,Description
CPLID1115,Crimson Dr. to Sackville Lakes Park Parking Lot (Sackville Lakes Parks & Trail)
CPLID1116,Saltwater Marsh
CPLID1117,Gaetz Brook AT Greenway 
CPLID1118,Chain of Lakes Greenway
CPLID1119,Africville
CPLID112,Caldwell Rd - Hines to Macdonalds Beach
CPLID1120,Fall River Road and Lockview
CPLID1121,Trunk 7 - Hillsboro to end of asphalt sidewalk
CPLID1122,Trunk 7 - Montague to end of asphalt sidewalk
CPLID1123,BR7 Forest Hills Parkway
CPLID1124,BR74 Oakland Rd
CPLID1125,BR26 Lady Hammond Rd
CPLID1126,Fairview Overpass
CPLID1127,BR30 Morris Lake Pedestrian Bridge
CPLID1128,BR40 Old Sackville Rd
CPLID1129,BR81 MacKay Bridge Approach
CPLID113,Hardisty Crt - Colby Dr to Loop Itslef
CPLID1130,BR84 MacKay Bridge Approach
CPLID1131,BR114 Magazine Hill Overpass
CPLID1132,BR115 Victori Rd CN Track Overpass
CPLID1133,BR128 MacKay Bridge Approach
CPLID1134,BR131 Barrington St Overpass over CN Rail
CPLID1135,BR007 Cole Harbour High School Pedestrian Path  
CPLID1136,BR026 Lady Hammond Rd Bridge                     
CPLID1137,BR41 Lucasville Rd Bridge
CPLID1138,BR65 Rosley Rd Bridge     
CPLID1139,Macdonald Bridge 
CPLID114,Micmac Blvd South - Woodland to Kent Driveway (Glencairn (private))
CPLID1140,Delmerle Dr - Tara to end
CPLID1141,Denford Rd - Stoney Beach to Lot 42
CPLID1142,Spruceview Dr - Denford to  end
CPLID1143,Maple Dr - Terence Bay to Delmerle
CPLID1144,Tara Dr - Terence Bay to Birch
CPLID1145,Prospect River Crt - Forest Glade to end
CPLID1146,Tidal Way - Bayshore to end
CPLID1147,Birch Cove Ln
CPLID1148,Dickson Ave
CPLID1149,Brule to Pinecrest
CPLID115,Agricola St (W) - Livingstone to Young
CPLID1150,Dunbrack St - Rosedale to Gesner
CPLID1151,Bedford Hwy - Rocky Lake to Civic 1687
CPLID1152,Bedford Hwy - Oakmount to North Mall entry
CPLID1153,Cliff St
CPLID1154,Bedford Hwy
CPLID1155,Cobequid Rd - Civic 1358
CPLID1156,Cobequid Rd - at Regwood Dr
CPLID1157,Rocky Lake Dr
CPLID1158,Waverley Rd (Multiple Locations)
CPLID1159,Waverley Rd Under Hwy 118
CPLID116,Tupper Grv - Prince Arthur to Armview
CPLID1160,Ross Rd at Salmon River Rd
CPLID1161,Burnside Dr - Between Commodore/Wright
CPLID1162,Barrington St MacKay Bridge Approaches
CPLID1163,Herring Cove Rd - Civic 22
CPLID1164,Purcell's Cove Rd at Williams Lake Rd
CPLID1165,Dartmouth Rd - Civic 89
CPLID1166,Cliff St
CPLID1167,Regal Rd - Civic 101
CPLID1168,3 Dunrobin Dr to 24 Gourok Ave
CPLID1169,48 Skeena St to 42 Saguenay Pl
CPLID117,Withrod Dr - Herring Cove to Mountain
CPLID1170,2320 Armcrescent West Ave - 2291 Quinn Street
CPLID1171,Alder Cres - Civic 101
CPLID1172,147 Nordic Cres to Leslie Thomas Jr. High School
CPLID1173,15 Fourth St to 15 Panorama Ln
CPLID1174,Regal Rd 
CPLID1175,North St (Dartmouth)
CPLID1176,201 Brownlow Ave 
CPLID1177,Quinpool Seawall
CPLID1178,Purcell's Cove Rd at Williams Lake Rd
CPLID1179,Herring Cove Rd - Civic 22
CPLID118,Dunbrack St - Knightsridge to Wentworth
CPLID1180,Coronation Dr - Hillcrest to Willett
CPLID1181,Newcastle St - Old Ferry to Civic 95
CPLID1182,Newcastle St - Old Ferry to Pleasant
CPLID1183,Strath Ln - Raymoor to Helene
CPLID1184,Preston St - Quinpool to Pepperell
CPLID1185,Preston St - Watt to Payzant
CPLID1186,Almon St - Robie to Civic 6034
CPLID1187,Almon St - Robie to Civic 6055
CPLID1188,Almon St - Gottingen to Isleville
CPLID1189,Kempt Rd - Commission to Livingstone
CPLID119,Old Sambro Rd - Leiblin to Halfway Point
CPLID1190,North St - Chebucto to Oxford
CPLID1191,Robie St - Young to Livingstone
CPLID1192,St. Margaret's Bay Rd - Quarry to Ferndale
CPLID1193,Dentith Rd - Herring Cove to Mall entry
CPLID1194,Leiblin Dr - Rockingstone to Elmdale
CPLID1195,Bedford Hwy - North Mall entrance to Oakmount
CPLID1196,Cow Bay Rd - Main to Hornes
CPLID1197,Trunk 7 - Hillsboro to end of asphalt
CPLID1198,Trunk 7 - Montague to end of asphalt
CPLID1199,Newcastle St - Old Ferry to Albert
CPLID12,Metro Transit - Penhorn Mall Terminal
CPLID120,"Chain Lake Dr (E, W) - Washmill to Lovett Lake"
CPLID1200,Chestnut St - Coburg to Watt
CPLID1201,Chestnut St - Coburg to Payzant
CPLID1202,Chestnut St - Payzant to Watt
CPLID1203,Lilac St - Payzant to Coburg
CPLID1204,Payzant Ave - Larch to Lilac
CPLID1205,Armcrescent West Ave - First to Benjamin Green
CPLID1206,Benjamin Green Ave - Chebucto to Armcrescent
CPLID1207,Herring Cove Rd - Cherry to Civic 222
CPLID1208,South Armcrescent Ave - First to Quinpool
CPLID1209,Coronation Ave - Hillcrest to Alex
CPLID121,MacIntosh Depot Salt Shed
CPLID1210,Coronation Ave - Alex to Birch
CPLID1211,Leiblin Dr - Elmdale to Old Sambro
CPLID1212,Dartmouth Rd - Eaglewood to end of sidewalk
CPLID1213,Montague Rd - Civic 1206 to Montague Mines
CPLID1214,Newcastle St - Old Ferry to Pleasant
CPLID1215,Perth Dr - Westwood Strath
CPLID1216,Strath Ln - Caledonia to Helene
CPLID1217,Westwood Dr - Caledonia to end
CPLID1218,Preston St - Quinpool to Payzant
CPLID1219,Cogswell St - Robie to North Park
CPLID122,Canada Games Centre
CPLID1220,Brunswick Street 
CPLID1221,Almon St - Oxford to Gottingen
CPLID1222,Columbus St - Kempt to Massachusetts
CPLID1223,Kempt Rd - Commission to Young
CPLID1224,Robie St - Livingstone to Young
CPLID1225,Stairs St - Kempt to Massachusetts
CPLID1226,George Dauphinee Ave - Bayers to Ralph Devlin
CPLID1227,St. Margaret's Bay Rd - Douglas to Quarry
CPLID1228,Birch Cove Ln - Kearney Lake to end
CPLID1229,Dickson Ave - Woodbury to end
CPLID123,Dartmouth Bridge Terminal
CPLID1230,Fox Glove/Parmbelle/Scarlet 
CPLID1231,Riverwood Dr - Eisener to Sprucewood
CPLID1232,Hammonds Plains Road  - Lucasville to Kingswood
CPLID1233,First Lake Dr - Crimson to Cobequid
CPLID1234,Glendale Dr - Riverside to 150m SE McDougall
CPLID1235,Lydgate Dr - Metropolitan to Lumsden
CPLID1236,Lynnville Dr - Lydgate to Lennox
CPLID1237,Bedford Hwy - Hwy 102 to Rocky Lake
CPLID1238,Doyle St - Hammonds Plains to Landsburg
CPLID1239,Elmridge Ave - Rolling Hills to end
CPLID124,Sullivan's Pond
CPLID1240,Overbrook Dr - Rolling Hills to end
CPLID1241,Stayner Dr - Overbrook to Stoney Ridge
CPLID1242,Stoney Ridge Ln - Rolling Hills to end
CPLID1243,Les Collins Ave - Hwy 207 to end
CPLID1244,Cow Bay Rd - Hornes to Main
CPLID1245,Main Rd - Harvard to Hines
CPLID1246,Regal Rd - Portland to Dorothea
CPLID1247,Badger Ave - Rattling to end
CPLID1248,Montague Rd - Montague Mines to Serpentine
CPLID1249,Rattling Ave - Gander to Badger
CPLID125,Sullivan's Pond to Harbour
CPLID1250,Serpentine Ave - Montague to end
CPLID1251,Newcastle Rd - Maitland to Old Ferry
CPLID1252,Pleasant St - Prince Albert to Portland
CPLID1253,Portland St - Pleasant to Lakefront
CPLID1254,Portland St - Manor to Hwy 111
CPLID1255,Prince Albert Rd - Sinclair to Hawthorne
CPLID1256,Prince Albert Rd - Glenwood to Chittick
CPLID1257,Wright Ave - Isnor to Burnside
CPLID1258,Chestnut St - Shirley to Coburg
CPLID1259,Lilac St - Coburg to Payzant
CPLID126,Chain Lake/Horseshoe
CPLID1260,Payzant Ave - Larch to Chestnut
CPLID1261,Gottingen St - Young to Almon
CPLID1262,Kaye St - Young to Gottingen
CPLID1263,Kenny St - Novalea to Devonshire
CPLID1264,Novalea Dr - Young to Stanley
CPLID1265,Union St - Young to Kenny
CPLID1266,Armcrescent Ave E/W - First to Benjamin Green
