OBJECTID,ROUTE_NUM,CLASS,TITLE,SOURCE,SACC,SDATE,DATE_ACT,DATE_REV,Shape__Length
50,88,BASE,BEDFORD COMMONS,TRANSIT,IN,2009-08-14T00:00:00.000Z,2009-08-14T00:00:00.000Z,2013-03-07T00:00:00.000Z,7142.37151034239
51,51,PEAK,WINDMILL (AM),TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,18885.3501570749
52,51,WEEKDAY REGULAR,WINDMILL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,8480.32040555367
53,51,PEAK,WINDMILL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,8480.32040555367
54,51,SATURDAY,WINDMILL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,8434.82865438003
55,51,PEAK,WINDMILL (PM),TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,18885.3501570749
56,53,SATURDAY,NOTTING PARK,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,8967.52226385482
57,53,SUNDAY,NOTTING PARK,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,8967.52226385482
58,64,PEAK,AKERLEY,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-08-20T00:00:00.000Z,22120.2325073943
59,51,SUNDAY,WINDMILL,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2018-02-07T00:00:00.000Z,8480.32040555367
60,72,BASE,PORTLAND HILLS,TRANSIT,IN,2008-05-27T00:00:00.000Z,2005-05-27T00:00:00.000Z,2008-09-03T00:00:00.000Z,33732.7625099489
61,89,PEAK,BEDFORD,TRANSIT,IN,2008-01-19T00:00:00.000Z,2008-01-19T00:00:00.000Z,2015-08-24T00:00:00.000Z,30156.1104827741
62,89,WEEKDAY REGULAR,BEDFORD,TRANSIT,IN,2008-01-19T00:00:00.000Z,2008-01-19T00:00:00.000Z,2015-08-24T00:00:00.000Z,30156.1104827741
63,55,BASE,PORT WALLACE,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,19067.1440326629
64,54,BASE,MONTEBELLO,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2005-05-27T00:00:00.000Z,17872.2870720131
65,10,BASE,DALHOUSIE,TRANSIT,IN,2002-08-15T00:00:00.000Z,2002-08-15T00:00:00.000Z,2012-08-27T00:00:00.000Z,34601.842340429
