OBJECTID,MATERIAL,SOURCE,SACC,ROUTE_NAME,EQUIPMENT,DATE_ACT,DATE_REV,GLOBALID,FDMID,PRIORITY,WNTR_EXCH,SDATE,Shape__Length
3147,SALT,TPW,,WSZ2,,2002-12-13T00:00:00.000Z,2017-09-25T00:00:00.000Z,c68e06c6-3b4c-4658-834a-95409c05f3d1,100002615,2,No,2002-12-13T00:00:00.000Z,109.516934352639
3148,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,094040d9-c79d-4a80-82c3-35b95a2d989b,200001695,1,No,2002-11-20T00:00:00.000Z,133.865453371432
3149,SALT,TPW,DUP,W3YR,,2007-09-27T00:00:00.000Z,2018-12-01T00:00:00.000Z,e38facb4-4337-41e7-9103-1b149e504fa4,700005264,1,No,2007-09-27T00:00:00.000Z,664.858697805589
3150,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,27184d3b-a5e4-4143-9662-d885f862d319,300003408,2,No,2011-08-04T00:00:00.000Z,128.145602895856
3151,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,66ced2a0-ecb8-4ec8-9530-1919654cceaf,300003123,2,No,2011-08-04T00:00:00.000Z,79.9548591130634
3152,SALT,TPW,,W1-4X4-PE,,2002-01-01T00:00:00.000Z,2017-09-19T00:00:00.000Z,83fb336b-19c6-4536-a7f6-f57f092b3a0d,700001905,2,No,2002-01-01T00:00:00.000Z,60.7178359078596
3153,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,90bdd589-7d1f-41a0-a0e2-91bbba14a424,100001395,1,No,2002-12-13T00:00:00.000Z,241.869093971981
3154,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,cceeb0ba-038c-46ec-9de9-09c74825afc2,300002415,2,No,2011-08-04T00:00:00.000Z,525.288539212052
3155,SALT,TPW,DUP,W3PR,,2007-09-27T00:00:00.000Z,2018-12-01T00:00:00.000Z,19cea5a0-424d-4704-9379-83288adb7fc1,700005264,1,No,2007-09-27T00:00:00.000Z,664.858697805589
3156,SALT,TPW,DUP,E2BLR,,2001-11-16T00:00:00.000Z,2018-12-01T00:00:00.000Z,34fbeecf-0129-45a2-8df6-bc38ca6c0659,200000425,1,No,2001-11-16T00:00:00.000Z,126.687194477045
3157,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,a7035e0e-49d4-4844-beb2-b4cfae6a70e0,700006459,1,No,2002-11-20T00:00:00.000Z,2449.32650286704
3158,SALT,TPW,,W2-1,,2001-10-08T00:00:00.000Z,2015-11-18T00:00:00.000Z,a9f33022-1703-43b9-8f67-a1d739e5aefa,300000266,2,No,2001-10-08T00:00:00.000Z,146.844629251074
3159,SALT,TPW,,W2-3,,2001-12-29T00:00:00.000Z,2015-11-18T00:00:00.000Z,8b679041-b010-4f71-87dc-78568bb9d382,300001304,2,No,2001-12-29T00:00:00.000Z,188.063030919484
3160,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,1e9e2a11-21a1-4967-adbe-585e4200dac2,200001543,2,No,2010-10-01T00:00:00.000Z,288.893065075096
3161,SALT,TPW,,E1BLR,,2007-08-13T00:00:00.000Z,2018-12-01T00:00:00.000Z,bd5037c3-095a-4b6c-9e61-a5867cff3f97,700004250,1,No,2007-08-13T00:00:00.000Z,79.4175340275663
3162,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-12-16T00:00:00.000Z,6716a327-8e09-4f82-9bea-c9c5a18db827,700009818,2,No,2002-12-13T00:00:00.000Z,773.996042509805
3163,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,57fefb4b-39be-4c7d-81ad-39f991c43dcb,200001689,1,No,2002-11-20T00:00:00.000Z,314.421417130744
3164,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,5678b271-c490-4b02-b465-ee2c5ff9a366,600000378,2,No,2002-12-12T00:00:00.000Z,124.192610760946
3165,SALT,TPW,,PB1,,2010-10-01T00:00:00.000Z,2016-08-17T00:00:00.000Z,fbefb262-3eed-4d75-93f6-4340702da149,200002055,2,No,2010-10-01T00:00:00.000Z,125.545950859264
3166,SALT,TPW,,W3PR,,2001-12-12T00:00:00.000Z,2018-12-01T00:00:00.000Z,e0035357-8802-4e08-a72d-2030e63d8c1b,300003384,1,No,2001-12-12T00:00:00.000Z,142.939513941872
3167,SALT,TPW,,W3ORR,,2001-12-05T00:00:00.000Z,2018-12-01T00:00:00.000Z,03b3fdf8-96f0-4168-9d21-7552918cb63e,300003250,2,No,2001-12-05T00:00:00.000Z,233.07989020743
3168,SALT,TPW,,PB1,,2002-11-20T00:00:00.000Z,2015-11-18T00:00:00.000Z,df3c3a0c-e569-42b0-851d-3555afd5a7e8,200000006,1,No,2002-11-20T00:00:00.000Z,85.1661372184577
3169,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,e7ecaa3a-3058-47ff-a1bd-b7792c3ac83c,300003234,2,No,2011-08-04T00:00:00.000Z,642.211684746161
3170,SAND,TPW,,PB3,,2002-12-12T00:00:00.000Z,2016-11-02T00:00:00.000Z,cfbfcac3-5269-48b6-bf7a-9198d554159a,700003076,2,No,2002-12-12T00:00:00.000Z,305.186014545295
3171,SALT,TPW,,PB4,,2011-08-04T00:00:00.000Z,2016-09-28T00:00:00.000Z,6480f027-e9cd-42df-9d25-75aad075b987,300003197,2,No,2011-08-04T00:00:00.000Z,125.641133837801
3172,SALT,TPW,,WSZ2,,2002-12-11T00:00:00.000Z,2017-09-25T00:00:00.000Z,ff9370db-ea7b-4bd8-a3d8-e8ab8fb79f5f,100000486,1,No,2002-12-11T00:00:00.000Z,90.2967148284502
3173,SALT,TPW,,PB3,,2002-12-13T00:00:00.000Z,2016-11-18T00:00:00.000Z,f8e4ebd8-e9ff-4704-bdbd-2a362d6badf9,700005520,1,No,2002-12-13T00:00:00.000Z,191.175097036572
