OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
998992,WOODCREST AVE,WOODCREST,AVE,Woodcrest Ave,Woodcrest,HALIFAX,HALIFAX,888,888,708.26886164735
998993,WOODILL ST,WOODILL,ST,Woodill St,Woodill,HALIFAX,HALIFAX,889,889,173.322593986646
998994,WOODLAWN TERR,WOODLAWN,TERR,Woodlawn Terr,Woodlawn,HALIFAX,HALIFAX,891,891,199.570632295711
998995,WOODWARD CRES,WOODWARD,CRES,Woodward Cres,Woodward,HALIFAX,HALIFAX,892,892,625.948480916763
998996,WRIGHT AVE,WRIGHT,AVE,Wright Ave,Wright,HALIFAX,HALIFAX,894,894,174.349003741105
998997,WYNDROCK DR,WYNDROCK,DR,Wyndrock Dr,Wyndrock,HALIFAX,HALIFAX,895,895,986.962979365417
998998,YALE ST,YALE,ST,Yale St,Yale,HALIFAX,HALIFAX,896,896,297.798617144918
998999,YORK ST,YORK,ST,York St,York,HALIFAX,HALIFAX,899,899,292.114759562525
999000,YOUNG AVE,YOUNG,AVE,Young Ave,Young,HALIFAX,HALIFAX,900,900,2381.24095219589
999001,SANDHURST CL,SANDHURST,CL,Sandhurst Cl,Sandhurst,HALIFAX,HALIFAX,903,903,177.001518569527
999002,WARD AVE,WARD,AVE,Ward Ave,Ward,HALIFAX,HALIFAX,847,847,111.225270046088
999003,WARREN ST,WARREN,ST,Warren St,Warren,HALIFAX,HALIFAX,848,848,167.817050810563
999004,UNIACKE ST,UNIACKE,ST,Uniacke St,Uniacke,HALIFAX,HALIFAX,829,829,238.127990398534
999005,VEITH ST,VEITH,ST,Veith St,Veith,HALIFAX,HALIFAX,834,834,606.50796135622
999006,VERNON ST,VERNON,ST,Vernon St,Vernon,HALIFAX,HALIFAX,835,835,1187.05787187843
999007,VICTORIA RD,VICTORIA,RD,Victoria Rd,Victoria,HALIFAX,HALIFAX,837,837,913.899757073384
999008,VIENNA ST,VIENNA,ST,Vienna St,Vienna,HALIFAX,HALIFAX,838,838,783.737249625333
999009,WHIMSICAL LAKE CRES,WHIMSICAL LAKE,CRES,Whimsical Lake Cres,Whimsical Lake,HALIFAX,HALIFAX,839,839,394.967334560294
999010,VIMY AVE,VIMY,AVE,Vimy Ave,Vimy,HALIFAX,HALIFAX,840,840,503.653945698764
999011,WAEGWOLTIC AVE,WAEGWOLTIC,AVE,Waegwoltic Ave,Waegwoltic,HALIFAX,HALIFAX,841,841,318.745247044166
999012,WAGNER AVE,WAGNER,AVE,Wagner Ave,Wagner,HALIFAX,HALIFAX,842,842,171.397363368019
999013,WALTON DR,WALTON,DR,Walton Dr,Walton,HALIFAX,HALIFAX,846,846,658.898078773309
999014,WOLFE CRES,WOLFE,CRES,Wolfe Cres,Wolfe,HALIFAX,HALIFAX,884,884,283.324156319209
999015,WOOD AVE,WOOD,AVE,Wood Ave,Wood,HALIFAX,HALIFAX,885,885,131.565573652981
999016,WOODBINE AVE,WOODBINE,AVE,Woodbine Ave,Woodbine,HALIFAX,HALIFAX,886,886,110.586023153595
999017,TOWERVIEW DR,TOWERVIEW,DR,Towerview Dr,Towerview,HALIFAX,HALIFAX,819,819,728.025179592643
999018,TRELYN RD,TRELYN,RD,Trelyn Rd,Trelyn,HALIFAX,HALIFAX,821,821,100.736984022564
999019,TRILLIUM TERR,TRILLIUM,TERR,Trillium Terr,Trillium,HALIFAX,HALIFAX,823,823,237.204742884895
999020,TUPPER GRV,TUPPER,GRV,Tupper Grv,Tupper,HALIFAX,HALIFAX,825,825,304.331713911461
999021,TWIN OAKS RD,TWIN OAKS,RD,Twin Oaks Rd,Twin Oaks,HALIFAX,HALIFAX,826,826,164.246847864375
999022,BARRINGTON ST,BARRINGTON,ST,Barrington St,Barrington,HALIFAX,HALIFAX,59,59,8233.93279597184
999023,BASINVIEW DR,BASINVIEW,DR,Basinview Dr,Basinview,HALIFAX,HALIFAX,60,60,799.900390815833
999024,HOLLAND ST,HOLLAND,ST,Holland St,Holland,HALIFAX,HALIFAX,67,67,169.400011387247
999025,BLISS ST,BLISS,ST,Bliss St,Bliss,HALIFAX,HALIFAX,104,104,250.415492002071
999026,BLOWERS ST,BLOWERS,ST,Blowers St,Blowers,HALIFAX,HALIFAX,107,107,306.910434582681
999027,BLUESTONE RD,BLUESTONE,RD,Bluestone Rd,Bluestone,HALIFAX,HALIFAX,109,109,575.267278948065
999028,BONAVENTURE DR,BONAVENTURE,DR,Bonaventure Dr,Bonaventure,HALIFAX,HALIFAX,111,111,139.878388424541
999029,BOND ST,BOND,ST,Bond St,Bond,HALIFAX,HALIFAX,112,112,166.455153417779
999030,BALMORAL RD,BALMORAL,RD,Balmoral Rd,Balmoral,HALIFAX,HALIFAX,56,56,517.083965492556
999031,WATERLOO ST,WATERLOO,ST,Waterloo St,Waterloo,HALIFAX,HALIFAX,851,851,298.054561182568
999032,WATT ST,WATT,ST,Watt St,Watt,HALIFAX,HALIFAX,852,852,639.46648002936
999033,WAVERLY TERR,WAVERLY,TERR,Waverly Terr,Waverly,HALIFAX,HALIFAX,853,853,45.1558446614275
999034,WEBSTER TERR,WEBSTER,TERR,Webster Terr,Webster,HALIFAX,HALIFAX,854,854,244.966705135385
999035,WELSFORD ST,WELSFORD,ST,Welsford St,Welsford,HALIFAX,HALIFAX,857,857,211.276505098361
999036,WENLOCK GRV,WENLOCK,GRV,Wenlock Grv,Wenlock,HALIFAX,HALIFAX,858,858,472.554725047801
999037,WEST ST,WEST,ST,West St,West,HALIFAX,HALIFAX,859,859,561.928418969281
999038,WESTGATE DR,WESTGATE,DR,Westgate Dr,Westgate,HALIFAX,HALIFAX,860,860,527.482623523751
999039,WESTRIDGE DR,WESTRIDGE,DR,Westridge Dr,Westridge,HALIFAX,HALIFAX,863,863,448.489334389635
999040,CRABAPPLE LANE,CRABAPPLE,LANE,Crabapple Lane,Crabapple,HALIFAX,HALIFAX,864,864,102.282481539513
999041,WILDWOOD AVE,WILDWOOD,AVE,Wildwood Ave,Wildwood,HALIFAX,HALIFAX,866,866,288.115180397012
999042,WILLIAMS ST,WILLIAMS,ST,Williams St,Williams,HALIFAX,HALIFAX,870,870,264.571432084897
999043,WILLOW ST,WILLOW,ST,Willow St,Willow,HALIFAX,HALIFAX,871,871,1280.74095815411
999044,WILLOWDALE TERR,WILLOWDALE,TERR,Willowdale Terr,Willowdale,HALIFAX,HALIFAX,872,872,105.290705758569
999045,WILSON BLVD,WILSON,BLVD,Wilson Blvd,Wilson,HALIFAX,HALIFAX,873,873,440.129834205072
999046,WINDCREST TERR,WINDCREST,TERR,Windcrest Terr,Windcrest,HALIFAX,HALIFAX,875,875,195.66543086872
999047,WINDERMERE RD,WINDERMERE,RD,Windermere Rd,Windermere,HALIFAX,HALIFAX,876,876,249.451446220158
999048,WINDSOR TERR,WINDSOR,TERR,Windsor Terr,Windsor,HALIFAX,HALIFAX,878,878,218.961048376189
999049,WINSTON PL,WINSTON,PL,Winston Pl,Winston,HALIFAX,HALIFAX,880,880,46.4138602138364
999050,WINTER ST,WINTER,ST,Winter St,Winter,HALIFAX,HALIFAX,881,881,440.547138590524
999051,WITHROD DR,WITHROD,DR,Withrod Dr,Withrod,HALIFAX,HALIFAX,883,883,1087.88119924652
999052,TANGMERE CRT,TANGMERE,CRT,Tangmere Crt,Tangmere,HALIFAX,HALIFAX,803,803,227.131614887712
999053,TERMINAL RD,TERMINAL,RD,Terminal Rd,Terminal,HALIFAX,HALIFAX,806,806,150.590780726934
999054,THIRD ST,THIRD,ST,Third St,Third,HALIFAX,HALIFAX,808,808,323.572281002216
999055,THORNHILL DR,THORNHILL,DR,Thornhill Dr,Thornhill,HALIFAX,HALIFAX,811,811,635.192423135107
999056,THORNVALE AVE,THORNVALE,AVE,Thornvale Ave,Thornvale,HALIFAX,HALIFAX,812,812,238.029579341761
999057,TITUS ST,TITUS,ST,Titus St,Titus,HALIFAX,HALIFAX,814,814,517.103337819942
999058,TOBIN ST,TOBIN,ST,Tobin St,Tobin,HALIFAX,HALIFAX,815,815,410.742490055766
999059,ARNOLD DR,ARNOLD,DR,Arnold Dr,Arnold,HALIFAX,HALIFAX,39,39,127.040442523393
999060,ARTILLERY PL,ARTILLERY,PL,Artillery Pl,Artillery,HALIFAX,HALIFAX,41,41,149.240213559041
999061,ARTZ ST,ARTZ,ST,Artz St,Artz,HALIFAX,HALIFAX,42,42,173.634335392162
999062,ARVIDA AVE,ARVIDA,AVE,Arvida Ave,Arvida,HALIFAX,HALIFAX,43,43,432.416850119865
999063,ASCOT AVE,ASCOT,AVE,Ascot Ave,Ascot,HALIFAX,HALIFAX,44,44,113.682442356099
999064,ATHLONE AVE,ATHLONE,AVE,Athlone Ave,Athlone,HALIFAX,HALIFAX,47,47,221.297744566461
999065,ATLANTIC ST,ATLANTIC,ST,Atlantic St,Atlantic,HALIFAX,HALIFAX,48,48,754.899773935131
999066,AUBURN AVE,AUBURN,AVE,Auburn Ave,Auburn,HALIFAX,HALIFAX,49,49,774.788403179009
999067,AUKLAND PL,AUKLAND,PL,Aukland Pl,Aukland,HALIFAX,HALIFAX,50,50,104.361962126994
999068,AURORA AVE,AURORA,AVE,Aurora Ave,Aurora,HALIFAX,HALIFAX,51,51,342.21298566631
999069,AUTUMN DR,AUTUMN,DR,Autumn Dr,Autumn,HALIFAX,HALIFAX,52,52,274.635544324093
999070,AVON CRES,AVON,CRES,Avon Cres,Avon,HALIFAX,HALIFAX,53,53,374.423007696872
999071,DUBLIN ST,DUBLIN,ST,Dublin St,Dublin,HALIFAX,HALIFAX,269,269,1459.19100323386
999072,DUDLEY ST,DUDLEY,ST,Dudley St,Dudley,HALIFAX,HALIFAX,270,270,257.498800688628
999073,DUKE ST,DUKE,ST,Duke St,Duke,HALIFAX,HALIFAX,273,273,519.86823960153
999074,BEDFORD ROW,BEDFORD,ROW,Bedford Row,Bedford,HALIFAX,HALIFAX,70,70,329.584960859767
999075,BEECH ST,BEECH,ST,Beech St,Beech,HALIFAX,HALIFAX,71,71,1549.82091307102
999076,BELLE AIRE TERR,BELLE AIRE,TERR,Belle Aire Terr,Belle Aire,HALIFAX,HALIFAX,75,75,369.012078166038
999077,BELMONT RD,BELMONT,RD,Belmont Rd,Belmont,HALIFAX,HALIFAX,78,78,363.225226896657
999078,BERESFORD RD,BERESFORD,RD,Beresford Rd,Beresford,HALIFAX,HALIFAX,79,79,260.285241777909
999079,BERMUDA AVE,BERMUDA,AVE,Bermuda Ave,Bermuda,HALIFAX,HALIFAX,81,81,105.788272646709
999080,BERTS DR,BERTS,DR,Berts Dr,Berts,HALIFAX,HALIFAX,82,82,156.58608997462
999081,BILBY ST,BILBY,ST,Bilby St,Bilby,HALIFAX,HALIFAX,84,84,599.962862914062
999082,BINNEY ST,BINNEY,ST,Binney St,Binney,HALIFAX,HALIFAX,85,85,251.498177443856
999083,BIRCH ST,BIRCH,ST,Birch St,Birch,HALIFAX,HALIFAX,86,86,515.27959913648
999084,BIRCHDALE AVE,BIRCHDALE,AVE,Birchdale Ave,Birchdale,HALIFAX,HALIFAX,87,87,209.234908964242
999085,BIRCHWOOD DR,BIRCHWOOD,DR,Birchwood Dr,Birchwood,HALIFAX,HALIFAX,91,91,185.203227143375
999086,SAMUEL TERR,SAMUEL,TERR,Samuel Terr,Samuel,HALIFAX,HALIFAX,95,95,199.962562393615
999087,BIRMINGHAM ST,BIRMINGHAM,ST,Birmingham St,Birmingham,HALIFAX,HALIFAX,96,96,589.294716572555
999088,BISHOP ST,BISHOP,ST,Bishop St,Bishop,HALIFAX,HALIFAX,97,97,287.948985230014
999089,BLACK ST,BLACK,ST,Black St,Black,HALIFAX,HALIFAX,99,99,240.028087254306
999090,SOUTH BLAND ST,SOUTH BLAND,ST,South Bland St,South Bland,HALIFAX,HALIFAX,101,101,328.216327126058
999091,BLENHEIM TERR,BLENHEIM,TERR,Blenheim Terr,Blenheim,HALIFAX,HALIFAX,102,102,123.110661966078
999092,DOUGLAS CRES,DOUGLAS,CRES,Douglas Cres,Douglas,HALIFAX,HALIFAX,257,257,1029.8049716683
999093,BORDEN ST,BORDEN,ST,Borden St,Borden,HALIFAX,HALIFAX,113,113,194.358466286724
999094,BOWER RD,BOWER,RD,Bower Rd,Bower,HALIFAX,HALIFAX,116,116,109.035408969188
999095,BRAEBURN RD,BRAEBURN,RD,Braeburn Rd,Braeburn,HALIFAX,HALIFAX,118,118,237.35075040499
999096,BRAESIDE LANE,BRAESIDE,LANE,Braeside Lane,Braeside,HALIFAX,HALIFAX,119,119,198.607717950607
999097,BREEN AVE,BREEN,AVE,Breen Ave,Breen,HALIFAX,HALIFAX,120,120,93.2972653996898
999098,BRENTON PL,BRENTON,PL,Brenton Pl,Brenton,HALIFAX,HALIFAX,121,121,122.563437669462
999099,BRENTON ST,BRENTON,ST,Brenton St,Brenton,HALIFAX,HALIFAX,122,122,405.160428520691
999100,BRIAR LANE,BRIAR,LANE,Briar Lane,Briar,HALIFAX,HALIFAX,123,123,101.776711935298
999101,BRIAR PL,BRIAR,PL,Briar Pl,Briar,HALIFAX,HALIFAX,124,124,164.880153658583
999102,BRIDGES ST,BRIDGES,ST,Bridges St,Bridges,HALIFAX,HALIFAX,126,126,327.093505283579
999103,BRIDGET AVE,BRIDGET,AVE,Bridget Ave,Bridget,HALIFAX,HALIFAX,127,127,499.564973094524
999104,BRIGHTON AVE,BRIGHTON,AVE,Brighton Ave,Brighton,HALIFAX,HALIFAX,130,130,158.447584475861
999105,BRISTOL PL,BRISTOL,PL,Bristol Pl,Bristol,HALIFAX,HALIFAX,131,131,100.345793374428
999106,BRONSON AVE,BRONSON,AVE,Bronson Ave,Bronson,HALIFAX,HALIFAX,135,135,137.134856928192
999107,GENERAL AVE,GENERAL,AVE,General Ave,General,HALIFAX,HALIFAX,137,137,281.238395098997
999108,CANTERBURY CL,CANTERBURY,CL,Canterbury Cl,Canterbury,HALIFAX,HALIFAX,138,138,180.783258174716
999109,BRUSSELS ST,BRUSSELS,ST,Brussels St,Brussels,HALIFAX,HALIFAX,141,141,326.742870720677
999110,BURNS DR,BURNS,DR,Burns Dr,Burns,HALIFAX,HALIFAX,144,144,292.793147401422
999111,CABOT PL,CABOT,PL,Cabot Pl,Cabot,HALIFAX,HALIFAX,145,145,373.724300527975
999112,CAMBRIDGE ST,CAMBRIDGE,ST,Cambridge St,Cambridge,HALIFAX,HALIFAX,146,146,874.912338365931
999113,CAMPBELL DR,CAMPBELL,DR,Campbell Dr,Campbell,HALIFAX,HALIFAX,147,147,181.791859836918
999114,CARDIFF PL,CARDIFF,PL,Cardiff Pl,Cardiff,HALIFAX,HALIFAX,149,149,103.571422863364
999115,CARLTON ST,CARLTON,ST,Carlton St,Carlton,HALIFAX,HALIFAX,150,150,330.760170615803
999116,CARNATION CRES,CARNATION,CRES,Carnation Cres,Carnation,HALIFAX,HALIFAX,151,151,373.165295235049
999117,CARTARET ST,CARTARET,ST,Cartaret St,Cartaret,HALIFAX,HALIFAX,154,154,300.503113188387
999118,CABOT ST,CABOT,ST,Cabot St,Cabot,HALIFAX,HALIFAX,905,905,546.873863488262
999119,BANBURY CL,BANBURY,CL,Banbury Cl,Banbury,HALIFAX,HALIFAX,907,907,191.969056302162
999120,WOODBANK TERR,WOODBANK,TERR,Woodbank Terr,Woodbank,HALIFAX,HALIFAX,909,909,291.103710358551
999121,ABBOTT DR,ABBOTT,DR,Abbott Dr,Abbott,HALIFAX,HALIFAX,2,2,601.74375728908
999122,ACORN RD,ACORN,RD,Acorn Rd,Acorn,HALIFAX,HALIFAX,5,5,378.628770322954
999123,ADAMS AVE,ADAMS,AVE,Adams Ave,Adams,HALIFAX,HALIFAX,6,6,69.3270975706349
999124,AIKENHEAD RD,AIKENHEAD,RD,Aikenhead Rd,Aikenhead,HALIFAX,HALIFAX,10,10,124.846656611329
999125,AIKENS AVE,AIKENS,AVE,Aikens Ave,Aikens,HALIFAX,HALIFAX,11,11,243.47842592524
999126,ALBERT PL,ALBERT,PL,Albert Pl,Albert,HALIFAX,HALIFAX,12,12,87.8154468567282
999127,ALBION RD,ALBION,RD,Albion Rd,Albion,HALIFAX,HALIFAX,14,14,805.200271645292
999128,ALDERWOOD DR,ALDERWOOD,DR,Alderwood Dr,Alderwood,HALIFAX,HALIFAX,16,16,219.647532721056
999129,ALEX ST,ALEX,ST,Alex St,Alex,HALIFAX,HALIFAX,17,17,1037.87579072758
999130,ALLAN ST,ALLAN,ST,Allan St,Allan,HALIFAX,HALIFAX,18,18,919.572026262696
999131,ANDREW ST,ANDREW,ST,Andrew St,Andrew,HALIFAX,HALIFAX,22,22,170.110706591169
999132,ANNANDALE ST,ANNANDALE,ST,Annandale St,Annandale,HALIFAX,HALIFAX,23,23,129.680879750591
999133,ARCHIBALD AVE,ARCHIBALD,AVE,Archibald Ave,Archibald,HALIFAX,HALIFAX,25,25,111.187573949745
999134,ARGYLE ST,ARGYLE,ST,Argyle St,Argyle,HALIFAX,HALIFAX,28,28,652.290733550943
999135,SOUTH ARMCRESCENT ST,SOUTH ARMCRESCENT,ST,South Armcrescent St,South Armcrescent,HALIFAX,HALIFAX,31,31,121.481633789472
999136,ARMCRESCENT WEST AVE,ARMCRESCENT WEST,AVE,Armcrescent West Ave,Armcrescent West,HALIFAX,HALIFAX,33,33,513.59188453627
999137,CHARLES ST,CHARLES,ST,Charles St,Charles,HALIFAX,HALIFAX,165,165,1231.6694422154
999138,CHELSEA LANE,CHELSEA,LANE,Chelsea Lane,Chelsea,HALIFAX,HALIFAX,170,170,138.178626297612
999139,CHERRY LANE,CHERRY,LANE,Cherry Lane,Cherry,HALIFAX,HALIFAX,171,171,222.117707337301
999140,DUNBRACK ST,DUNBRACK,ST,Dunbrack St,Dunbrack,HALIFAX,HALIFAX,274,274,10437.6588271298
999141,DUNCAN ST,DUNCAN,ST,Duncan St,Duncan,HALIFAX,HALIFAX,275,275,726.918426925875
999142,DUNVEGAN DR,DUNVEGAN,DR,Dunvegan Dr,Dunvegan,HALIFAX,HALIFAX,277,277,242.049901315001
999143,EAGLE CRES,EAGLE,CRES,Eagle Cres,Eagle,HALIFAX,HALIFAX,279,279,106.90716303472
999144,EASTVIEW DR,EASTVIEW,DR,Eastview Dr,Eastview,HALIFAX,HALIFAX,280,280,300.191418991863
999145,EDGEWOOD AVE,EDGEWOOD,AVE,Edgewood Ave,Edgewood,HALIFAX,HALIFAX,282,282,735.712629989428
999146,CATAMARAN RD,CATAMARAN,RD,Catamaran Rd,Catamaran,HALIFAX,HALIFAX,157,157,351.457074258792
999147,CEDAR ST,CEDAR,ST,Cedar St,Cedar,HALIFAX,HALIFAX,159,159,884.761772556403
999148,COBALT WALK,COBALT,WALK,Cobalt Walk,Cobalt,HALIFAX,HALIFAX,160,160,208.718493240345
999149,CEDARBRAE LANE,CEDARBRAE,LANE,Cedarbrae Lane,Cedarbrae,HALIFAX,HALIFAX,161,161,153.766140664834
999150,CENTRAL AVE,CENTRAL,AVE,Central Ave,Central,HALIFAX,HALIFAX,162,162,1827.74496152347
999151,FARNHAM GATE RD,FARNHAM GATE,RD,Farnham Gate Rd,Farnham Gate,HALIFAX,HALIFAX,181,181,1452.10895189223
999152,DONALDSON AVE,DONALDSON,AVE,Donaldson Ave,Donaldson,HALIFAX,HALIFAX,256,256,801.494879888307
999153,CHERRY ST,CHERRY,ST,Cherry St,Cherry,HALIFAX,HALIFAX,172,172,343.207076571047
999154,CHESTER AVE,CHESTER,AVE,Chester Ave,Chester,HALIFAX,HALIFAX,173,173,313.882008868923
999155,CHESTNUT ST,CHESTNUT,ST,Chestnut St,Chestnut,HALIFAX,HALIFAX,174,174,946.33929223572
999156,CHURCH ST,CHURCH,ST,Church St,Church,HALIFAX,HALIFAX,177,177,287.928641612913
999157,CHURCHILL DR,CHURCHILL,DR,Churchill Dr,Churchill,HALIFAX,HALIFAX,178,178,669.766689753837
999158,CLAREMONT ST,CLAREMONT,ST,Claremont St,Claremont,HALIFAX,HALIFAX,180,180,565.824305119875
999159,CLAYMORE AVE,CLAYMORE,AVE,Claymore Ave,Claymore,HALIFAX,HALIFAX,182,182,332.190828112011
999160,CLEARVIEW ST,CLEARVIEW,ST,Clearview St,Clearview,HALIFAX,HALIFAX,184,184,375.614762127699
999161,CLIFTON ST,CLIFTON,ST,Clifton St,Clifton,HALIFAX,HALIFAX,185,185,981.040562860194
999162,CLINTON AVE,CLINTON,AVE,Clinton Ave,Clinton,HALIFAX,HALIFAX,186,186,238.850176823126
999163,CLOVERDALE RD,CLOVERDALE,RD,Cloverdale Rd,Cloverdale,HALIFAX,HALIFAX,188,188,278.484853486836
999164,CLOVIS AVE,CLOVIS,AVE,Clovis Ave,Clovis,HALIFAX,HALIFAX,189,189,537.654335046969
999165,COLLEGE ST,COLLEGE,ST,College St,College,HALIFAX,HALIFAX,197,197,753.642534575588
999166,COLUMBUS PL,COLUMBUS,PL,Columbus Pl,Columbus,HALIFAX,HALIFAX,200,200,386.222190520862
999167,COLUMBUS ST,COLUMBUS,ST,Columbus St,Columbus,HALIFAX,HALIFAX,201,201,718.128891004564
999168,COMPTON AVE,COMPTON,AVE,Compton Ave,Compton,HALIFAX,HALIFAX,203,203,308.000498166197
999169,CONNAUGHT AVE,CONNAUGHT,AVE,Connaught Ave,Connaught,HALIFAX,HALIFAX,204,204,8394.54391120679
999170,CONNOLLY ST,CONNOLLY,ST,Connolly St,Connolly,HALIFAX,HALIFAX,207,207,2474.82636297942
999171,CONNROSE AVE,CONNROSE,AVE,Connrose Ave,Connrose,HALIFAX,HALIFAX,208,208,145.468534003772
999172,CORK ST,CORK,ST,Cork St,Cork,HALIFAX,HALIFAX,211,211,1111.14186343281
999173,CORNWALL ST,CORNWALL,ST,Cornwall St,Cornwall,HALIFAX,HALIFAX,212,212,289.624440459651
999174,CORNWALLIS ST,CORNWALLIS,ST,Cornwallis St,Cornwallis,HALIFAX,HALIFAX,214,214,762.267335289619
999175,ARMSHORE DR,ARMSHORE,DR,Armshore Dr,Armshore,HALIFAX,HALIFAX,36,36,386.787891242091
999176,ARMVIEW AVE,ARMVIEW,AVE,Armview Ave,Armview,HALIFAX,HALIFAX,37,37,544.967092769765
999177,ARMVIEW TERR,ARMVIEW,TERR,Armview Terr,Armview,HALIFAX,HALIFAX,38,38,125.163435552617
999178,BLINK BONNIE TERR,BLINK BONNIE,TERR,Blink Bonnie Terr,Blink Bonnie,HALIFAX,HALIFAX,103,103,297.942445995049
999179,ARMCRESCENT EAST DR,ARMCRESCENT EAST,DR,Armcrescent East Dr,Armcrescent East,HALIFAX,HALIFAX,32,32,491.414456486894
999180,FLINN ST,FLINN,ST,Flinn St,Flinn,HALIFAX,HALIFAX,321,321,523.103231430844
999181,DEVON CRES,DEVON,CRES,Devon Cres,Devon,HALIFAX,HALIFAX,250,250,376.117889193657
999182,DICKSON AVE,DICKSON,AVE,Dickson Ave,Dickson,HALIFAX,HALIFAX,253,253,233.676755670516
999183,DIPPER CRES,DIPPER,CRES,Dipper Cres,Dipper,HALIFAX,HALIFAX,255,255,290.008107028915
999184,FOX GLOVE LANE,FOX GLOVE,LANE,Fox Glove Lane,Fox Glove,HALIFAX,HALIFAX,333,333,220.806387702381
999185,FRANCES CRT,FRANCES,CRT,Frances Crt,Frances,HALIFAX,HALIFAX,334,334,61.4557106542689
999186,FRASER ST,FRASER,ST,Fraser St,Fraser,HALIFAX,HALIFAX,336,336,302.659103052836
999187,FULLER TERR,FULLER,TERR,Fuller Terr,Fuller,HALIFAX,HALIFAX,338,338,500.053800940717
999188,GARDEN ST,GARDEN,ST,Garden St,Garden,HALIFAX,HALIFAX,339,339,399.923528060384
999189,GEBHARDT ST,GEBHARDT,ST,Gebhardt St,Gebhardt,HALIFAX,HALIFAX,342,342,268.1338952079
999190,GELDERT ST,GELDERT,ST,Geldert St,Geldert,HALIFAX,HALIFAX,343,343,205.937339059791
999191,GERRISH LANE,GERRISH,LANE,Gerrish Lane,Gerrish,HALIFAX,HALIFAX,346,346,100.323044891091
999192,GERRISH ST,GERRISH,ST,Gerrish St,Gerrish,HALIFAX,HALIFAX,347,347,148.633065212388
999193,GLADSTONE ST,GLADSTONE,ST,Gladstone St,Gladstone,HALIFAX,HALIFAX,348,348,805.13632272394
999194,NEWBERY ST,NEWBERY,ST,Newbery St,Newbery,HALIFAX,HALIFAX,585,585,490.472289122045
999195,MASCARENE DR,MASCARENE,DR,Mascarene Dr,Mascarene,HALIFAX,HALIFAX,533,533,180.181312393321
999196,DOUG SMITH DR,DOUG SMITH,DR,Doug Smith Dr,Doug Smith,HALIFAX,HALIFAX,259,259,469.916644358817
999197,DOULL AVE,DOULL,AVE,Doull Ave,Doull,HALIFAX,HALIFAX,260,260,826.513611197452
999198,DOVE ST,DOVE,ST,Dove St,Dove,HALIFAX,HALIFAX,261,261,108.608548203204
999199,DOWELL DR,DOWELL,DR,Dowell Dr,Dowell,HALIFAX,HALIFAX,262,262,151.924579091508
999200,DOYLE ST,DOYLE,ST,Doyle St,Doyle,HALIFAX,HALIFAX,265,265,153.953312801204
999201,DRESDEN ROW,DRESDEN,ROW,Dresden Row,Dresden,HALIFAX,HALIFAX,266,266,758.360678621177
999202,DRYSDALE RD,DRYSDALE,RD,Drysdale Rd,Drysdale,HALIFAX,HALIFAX,268,268,1261.93767498085
999203,GLENDALE RD,GLENDALE,RD,Glendale Rd,Glendale,HALIFAX,HALIFAX,350,350,270.721201739154
999204,GLENMORE AVE,GLENMORE,AVE,Glenmore Ave,Glenmore,HALIFAX,HALIFAX,354,354,246.305278411013
999205,GLENN DR,GLENN,DR,Glenn Dr,Glenn,HALIFAX,HALIFAX,355,355,516.909476828543
999206,GLENORA AVE,GLENORA,AVE,Glenora Ave,Glenora,HALIFAX,HALIFAX,356,356,450.469976473884
999207,GORDON AVE,GORDON,AVE,Gordon Ave,Gordon,HALIFAX,HALIFAX,358,358,152.72751957844
999208,GORSEBROOK AVE,GORSEBROOK,AVE,Gorsebrook Ave,Gorsebrook,HALIFAX,HALIFAX,359,359,302.35362264189
999209,GRANVILLE ST,GRANVILLE,ST,Granville St,Granville,HALIFAX,HALIFAX,364,364,893.981922785942
999210,GREEN ST,GREEN,ST,Green St,Green,HALIFAX,HALIFAX,366,366,367.998568570542
999211,GREENWOOD AVE,GREENWOOD,AVE,Greenwood Ave,Greenwood,HALIFAX,HALIFAX,368,368,740.15897802668
999212,GUILDWOOD CRES,GUILDWOOD,CRES,Guildwood Cres,Guildwood,HALIFAX,HALIFAX,370,370,378.749308481927
999213,HAMSHAW DR,HAMSHAW,DR,Hamshaw Dr,Hamshaw,HALIFAX,HALIFAX,372,372,1029.85224884796
999214,KANE PL,KANE,PL,Kane Pl,Kane,HALIFAX,HALIFAX,437,437,387.881167364486
999215,KANE ST,KANE,ST,Kane St,Kane,HALIFAX,HALIFAX,438,438,409.231000790208
999216,KELLY ST,KELLY,ST,Kelly St,Kelly,HALIFAX,HALIFAX,445,445,387.048080839974
999217,KENCREST AVE,KENCREST,AVE,Kencrest Ave,Kencrest,HALIFAX,HALIFAX,447,447,670.313948633735
999218,KENT AVE,KENT,AVE,Kent Ave,Kent,HALIFAX,HALIFAX,450,450,501.291258919348
999219,KENT ST,KENT,ST,Kent St,Kent,HALIFAX,HALIFAX,451,451,391.13375764374
999220,KENWOOD AVE,KENWOOD,AVE,Kenwood Ave,Kenwood,HALIFAX,HALIFAX,452,452,190.887317187472
999221,KING ST,KING,ST,King St,King,HALIFAX,HALIFAX,454,454,390.773390073636
999222,KINGFISHER CRES,KINGFISHER,CRES,Kingfisher Cres,Kingfisher,HALIFAX,HALIFAX,455,455,386.857594000272
