OBJECTID,FULL_NAME,STR_NAME,STR_TYPE,MIX_FULL,MIX_NAME,GSA_LEFT,GSA_RIGHT,STR_CODE_L,STR_CODE_R,Shape__Length
1002704,MILA ST,MILA,ST,Mila St,Mila,MIDDLE SACKVILLE,MIDDLE SACKVILLE,17002,17002,119.85284135211
1002705,JOANNE LANE,JOANNE,LANE,Joanne Lane,Joanne,LOWER SACKVILLE,LOWER SACKVILLE,16998,16998,103.876522878509
1002706,MIDYAT CRT,MIDYAT,CRT,Midyat Crt,Midyat,EASTERN PASSAGE,EASTERN PASSAGE,16934,16934,229.18786057994
1002707,BACKWOOD LANE,BACKWOOD,LANE,Backwood Lane,Backwood,UPPER TANTALLON,UPPER TANTALLON,16564,16564,602.01931007838
1002708,MOSSHAVEN LANE,MOSSHAVEN,LANE,Mosshaven Lane,Mosshaven,WHITES LAKE,WHITES LAKE,17047,17047,572.837238083336
1002709,ROSEDALE DR,ROSEDALE,DR,Rosedale Dr,Rosedale,DARTMOUTH,DARTMOUTH,6578,6578,388.244966843959
1002710,ROPEWALK LANE,ROPEWALK,LANE,Ropewalk Lane,Ropewalk,DARTMOUTH,DARTMOUTH,66706,66706,171.48347479401
1002711,HIGHWAY 103 WB EXIT 4 ON RAMP,HIGHWAY 103 WB EXIT 4 ON,RAMP,Highway 103 WB Exit 4 On Ramp,Highway 103 WB Exit 4 On,TIMBERLEA,TIMBERLEA,15107,15107,938.653950463655
1002712,SCHOOL AVE,SCHOOL,AVE,School Ave,School,HALIFAX,HALIFAX,742,742,1599.91669955133
1002713,HARTLIN RD,HARTLIN,RD,Hartlin Rd,Hartlin,MYERS POINT,MYERS POINT,10383,10383,239.871915677721
1002714,CONVOY AVE,CONVOY,AVE,Convoy Ave,Convoy,HALIFAX,HALIFAX,209,209,1373.55390110857
1002715,LITTLE LUPIN WAY,LITTLE LUPIN,WAY,Little Lupin Way,Little Lupin,HEAD OF JEDDORE,HEAD OF JEDDORE,16330,16330,321.8691336456
1002716,SHERWOOD DR,SHERWOOD,DR,Sherwood Dr,Sherwood,STILLWATER LAKE,STILLWATER LAKE,10875,10875,437.950061117645
1002717,HIGHWAY 102 NB EXIT 4B HIGHWAY 101 WB RAMP,HIGHWAY 102 NB EXIT 4B HIGHWAY 101 WB,RAMP,,,BEDFORD,BEDFORD,15192,15192,604.722720328093
1002718,LETITIA LANE,LETITIA,LANE,Letitia Lane,Letitia,PORTUGUESE COVE,PORTUGUESE COVE,16108,16108,339.967845874813
1002719,HIGHWAY 101 WB EXIT 1H HIGHWAY 102 NB RAMP,HIGHWAY 101 WB EXIT 1H HIGHWAY 102 NB,RAMP,,,BEDFORD,BEDFORD,15193,15193,881.714270511277
