X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.573354531797975,44.645746193965749,2292,BS2179,6102,Yes,Barrington St Before Blowers St (6102),Accessible,CPD2177,300001552,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-08T00:00:00.000Z
-63.628771516335341,44.629900096127898,2293,BS701,8370,Yes,Tamarack Dr After Medina Ct (8370),Accessible,CPD1028,300002924,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-07-09T00:00:00.000Z
-63.566928488210252,44.607694525178459,2294,BS1903,8106,Yes,Purcells Cove Rd After Military Rd (8106),Non-Standard,CPD2116,300003051,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
-63.590767769912745,44.647609303858218,2295,BS1743,8214,Yes,Robie St Before Quinpool Rd (8214),Accessible,CPD1825,700004788,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-02T00:00:00.000Z
-63.569423199585771,44.665157800785025,2296,BS733,6030,Yes,Alderney Dr Before Ochterloney St Bay 1 (6030),Accessible,CPD134,700004531,Terminal,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.668911500521027,44.656743900796272,2297,BS362,9090,Yes,Regency Park Dr After Solutions Dr (9090),Accessible,CPD637,700005300,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.563957199915251,44.678023001198447,2298,BS1957,6530,Yes,Crichton Ave After Oakdale Cr (6530),Accessible,CPD2044,200000754,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.54581025560563,44.673523482841048,2299,BS1092,7384,Yes,Oathill Cr Before Colburn Walk (7384),Non-Standard,CPD1339,200001987,Conventional Transit Bus Stop,29/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.51846710052731,44.677704900788413,2300,BS1786,6636,Yes,Ellenvale Ave Before Spring Ave (6636),Non-Standard,CPD1857,200001015,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.598564300365908,44.684602401225256,2301,BS1930,8512,Yes,Windmill Rd Before Nootka Ave (8512),Accessible,CPD2139,700004651,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.490963999514342,44.683396800394895,2302,BS1700,6671,Yes,Forest Hills Pky Opposite CHP (6671),Non-Standard,CPD302,200003128,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.606305700311765,44.645732301411194,2303,BS2318,6495,Yes,Connaught Ave After Oak St (6495),Accessible,CPD2427,700004983,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.599082100075464,44.70389260111034,2304,BS1702,6673,Yes,Fielding Ave After Wright Ave (6673),Inaccessible,CPD1957,200002617,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.59398800742413,44.653699252523488,2305,BS1837,8222,Yes,Robie St After Charles St (8222),Accessible,CPD1899,300000989,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-12-31T00:00:00.000Z
-63.487341400298988,44.657250700739752,2306,BS1488,6056,Yes,Astral Dr After Willowdale Dr (6056),Non-Standard,CPD1786,200003045,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.586972600738065,44.671656401449589,2307,BS1370,8524,Yes,Windmill Rd Before Henry St (8524),Accessible,CPD1539,200000323,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.760991100660718,44.732775601189942,2308,BS1515,6811,Yes,Hammonds Plains Rd After Lucasville Rd (6811),Non-Standard,CPD1689,700001280,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.708342600759813,44.78200210100718,2309,BS495,7233,Yes,Millwood Dr After Sackville Dr (7233),Accessible,CPD829,100002023,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.581063984059057,44.682201187662464,2310,BS727,6024,Yes,Albro Lake Rd Opposite Sheridan St (6024),Accessible,CPD131,200000065,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.711424699838375,44.7218300012035,2311,BS1037,6218,Yes,Bluewater Rd After Command Ct (6218),Non-Standard,CPD1408,100001563,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.624463199825968,44.630345801043219,2312,BS399,7254,Yes,Mountain Rd Before Wildwood Ave (7254),Non-Standard,CPD917,300002326,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.5945864992024,44.679569600879752,2313,BS1931,8513,Yes,Windmill Rd After Trinity Ave (8513),Accessible,CPD2140,200001851,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.582904899774171,44.668596600969025,2314,BS1624,8538,Yes,Windmill Rd Opposite Dawson St (8538),Accessible,CPD1641,200000332,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.566354800713611,44.696855801147542,2315,BS1267,8657,Yes,Finnian Row Before Lamont Terr (8657),Accessible,CPD1606,700003409,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.64348259961762,44.663322900977008,2316,BS1724,7074,Yes,Lacewood Dr After Gateway Rd (7074),Accessible,CPD1814,300000474,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.41630580766693,44.722277455684988,2317,BS1648,8773,Yes,Hwy 7 After Lower Partridge River Rd (8773),Non-Standard,CPD1656,400000215,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.670771382366731,44.682972914534652,2318,BS1197,7028,Yes,Kearney Lake Rd Opposite Civic 83 (7028),Accessible,CPD1283,300000043,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.641365199526042,44.670331401320297,2319,BS2351,6286,Yes,Bedford Hwy Before Seton Rd (6286),Non-Standard,CPD2450,300003384,Conventional Transit Bus Stop,21/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.661417852337273,44.657174279007435,2320,BS359,9087,Yes,Thomas Raddall Dr Opposite Civic 210 (9087),Non-Standard,CPD634,700006593,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-07-06T00:00:00.000Z
-63.669278100293525,44.658346600319149,2321,BS363,9091,Yes,Regency Park Dr Before Lacewood Dr (9091),Accessible,CPD638,700005300,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.571142023473996,44.641562575339371,2322,BS2190,6113,Yes,Barrington St Before Morris St (6113),Accessible,CPD2185,300001887,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-08T00:00:00.000Z
-63.581662807315659,44.65091493988934,2323,BS749,6773,Yes,Gottingen St After Cogswell St (6773),Accessible,CPD937,700000662,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2019-01-11T00:00:00.000Z
-63.475424399147215,44.650952201091506,2324,BS1487,6055,Yes,Astral Dr Before Carisbrooke Ln (6055),Non-Standard,CPD1785,200002991,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.660824200681766,44.682725400552677,2325,BS2340,6275,Yes,Bedford Hwy Before Kearney Lake Rd (6275),Non-Standard,CPD2441,700005284,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.683256158303962,44.636223422055714,2326,BS461,6162,Yes,St Margarets Bay Rd Before Beech Tree Run (6162),Accessible,CPD63,300003391,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.510395499645945,44.664637601055063,2327,BS1336,8835,Yes,Portland Hills Dr At Civic 159 (8835),Accessible,CPD1507,700000557,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.536514700149645,44.698335300891287,2328,BS531,6356,Yes,Caledonia Rd Before Stanfield Ave (6356),Accessible,CPD857,700008272,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.805602900127397,44.734040700919266,2329,BS1525,6821,Yes,Hammonds Plains Rd Before Civic 2465 (6821),Non-Standard,CPD1699,600000073,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.676218269481275,44.635536355970331,2330,BS563,6179,Yes,St Margarets Bay Rd Before Sheppards Run (6179),Accessible,CPD881,300003393,Conventional Transit Bus Stop,07/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.692325977908816,44.791337605807286,2331,BS347,8757,Yes,Beaver Bank Rd Before Millwood Dr (8757),Non-Standard,CPD622,100001739,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-09-18T00:00:00.000Z
-63.608036921849227,44.653123974777124,2332,BS866,7417,Yes,Oxford St Before Liverpool St (7417),Accessible,CPD1112,300001037,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-09-24T00:00:00.000Z
-63.605397064283352,44.698553097669041,2333,BS1276,8532,Yes,Windmill Rd Before Wright Ave (8532),Accessible,CPD246,200000748,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.481243499606478,44.679119500735453,2334,BS2507,6997,Yes,John Stewart Dr Before 1st Inglewood Cr (6997),Non-Standard,CPD2461,200001685,Conventional Transit Bus Stop,18/01/2017,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.482139899682402,44.64908280071122,2335,BS151,8279,Yes,Shrewsbury Rd Before Sherwood St (8279),Non-Standard,CPD647,200001317,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.46710430000374,44.604124901187575,2336,BS428,6339,Yes,Caldwell Rd Before Hillside Ln (6339),Accessible,CPD772,200001795,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.545461800903546,44.71914780084203,2337,BS2222,8463,Yes,Waverley Rd Before Applewood Ln (8463),Non-Standard,CPD2210,200001641,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.620626145802838,44.64798632470734,2338,BS2674,8640,Yes,Mumford Terminal Bay 2 (8640),Accessible,CPD451,700005138,Terminal,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.484984000906223,44.650797101004194,2339,BS431,6342,Yes,Caldwell Rd After Millbrook Ave (6342),Accessible,CPD774,200001894,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.610452113457477,44.646259065740061,2340,BS2054,6413,Yes,Chebucto Rd Opposite Benjamin Green Dr (6413),Accessible,CPD1992,700004899,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.637881341513065,44.658020829522876,2341,BS1458,7167,Yes,Main Ave At Flint St (7167),Accessible,CPD260,300003355,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.688141300125267,44.788211300730985,2342,BS1094,8356,Yes,Stokil Dr After Grennan Dr (8356),Non-Standard,CPD1341,100000607,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.430404837305097,44.72459233667248,2343,BS2706,8814,Yes,Brooks Dr Opposite Lake Eagle Dr (8814),Non-Standard,CPD2612,400000485,Conventional Transit Bus Stop,,Coordinated Point,2016-11-14T00:00:00.000Z,2018-09-19T00:00:00.000Z
-63.471139299596352,44.608656400749297,2344,BS426,6337,Yes,Caldwell Rd After Thorncrest Ct (6337),Accessible,CPD57,200000192,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
-63.581994374588717,44.639204725279598,2345,BS905,8410,Yes,University Ave Before Summer St (8410),Accessible,CPD1144,700004866,Conventional Transit Bus Stop,,Coordinated Point,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
